"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" "," "," 女",258664,17386,18042,17840,22078,23067,19660,19677,20448,19231,17245,12624,10774,11676,10287,8258,5458,3010,1398,428,65,12
" "," 南投市"
" "," "," 合計",104460,6408,8106,8556,9735,9139,7451,7871,8814,8412,7437,4989,3780,3839,3366,3003,1901,1004,467,157,20,5
" "," "," 男",53304,3275,4291,4494,4976,4759,3805,3952,4339,4198,3799,2534,1842,1835,1679,1667,1043,513,233,65,4,1
" "," "," 女",51156,3133,3815,4062,4759,4380,3646,3919,4475,4214,3638,2455,1938,2004,1687,1336,858,491,234,92,16,4
" "," 埔里鎮"
" "," "," 合計",87526,5716,6004,6136,7093,7766,6756,6939,7492,7110,6342,4334,3583,3567,3054,2750,1683,773,319,89,17,3
" "," "," 男",45066,2940,3107,3194,3620,3975,3446,3664,3936,3653,3216,2241,1802,1770,1539,1523,896,368,141,29,5,1
" "," "," 女",42460,2776,2897,2942,3473,3791,3310,3275,3556,3457,3126,2093,1781,1797,1515,1227,787,405,178,60,12,2
" "," 草屯鎮"
" "," "," 合計",97740,6420,7529,7340,8659,8948,7277,7904,8149,7744,6969,4748,3663,3883,3319,2536,1429,740,359,107,16,1
" "," "," 男",49937,3356,3863,3801,4443,4621,3675,3958,4221,3949,3662,2478,1911,1932,1710,1213,667,301,133,38,5,-
" "," "," 女",47803,3064,3666,3539,4216,4327,3602,3946,3928,3795,3307,2270,1752,1951,1609,1323,762,439,226,69,11,1
" "," 竹山鎮"
" "," "," 合計",61209,3955,3818,4063,5280,5899,4871,4735,4719,4321,4165,3198,2695,2910,2505,1876,1197,624,307,66,5,-
" "," "," 男",31960,2069,2009,2142,2712,3063,2620,2589,2614,2315,2166,1645,1401,1498,1274,918,537,243,118,25,2,-
" "," "," 女",29249,1886,1809,1921,2568,2836,2251,2146,2105,2006,1999,1553,1294,1412,1231,958,660,381,189,41,3,-
" "," 集集鎮"
" "," "," 合計",12279,915,756,634,801,917,983,1029,997,863,709,630,574,727,659,473,333,170,84,21,4,-
" "," "," 男",6528,462,362,317,423,492,496,614,595,535,393,342,288,365,359,235,160,52,29,7,2,-
" "," "," 女",5751,453,394,317,378,425,487,415,402,328,316,288,286,362,300,238,173,118,55,14,2,-
" "," 名間鄉"
" "," "," 合計",42847,3104,2876,2689,3344,3663,3465,3524,3465,3095,2781,2009,1865,2009,1867,1360,911,499,235,73,12,1
" "," "," 男",22697,1631,1481,1375,1771,1861,1822,1954,1977,1772,1580,992,1010,1089,947,690,399,216,97,27,6,-
" "," "," 女",20150,1473,1395,1314,1573,1802,1643,1570,1488,1323,1201,1017,855,920,920,670,512,283,138,46,6,1
" "," 鹿谷鄉"
" "," "," 合計",20801,1334,1224,1204,1560,1815,1560,1560,1724,1614,1357,955,929,1077,1026,873,531,290,133,32,3,-
" "," "," 男",11078,685,623,619,809,921,827,913,1025,980,804,497,488,557,474,414,244,121,54,20,3,-
" "," "," 女",9723,649,601,585,751,894,733,647,699,634,553,458,441,520,552,459,287,169,79,12,-,-
" "," 中寮鄉"
" "," "," 合計",17688,1300,856,820,1176,1327,1310,1574,1509,1243,1063,873,880,1092,953,760,521,281,122,23,4,1
" "," "," 男",9741,732,460,410,586,683,711,960,969,773,660,496,461,574,474,381,228,118,54,10,1,-
" "," "," 女",7947,568,396,410,590,644,599,614,540,470,403,377,419,518,479,379,293,163,68,13,3,1
" "," 魚池鄉"
" "," "," 合計",17713,1236,972,846,1231,1491,1388,1372,1381,1300,1201,961,828,960,917,746,493,235,113,35,5,2
" "," "," 男",9620,648,514,447,640,755,761,816,852,779,688,549,434,494,486,351,234,105,53,11,3,-
" "," "," 女",8093,588,458,399,591,736,627,556,529,521,513,412,394,466,431,395,259,130,60,24,2,2
" "," 國姓鄉"
" "," "," 合計",23675,1677,1426,1305,1636,1852,1929,2060,2028,1718,1479,1154,1117,1301,1107,931,561,244,113,34,3,-
" "," "," 男",13005,881,743,697,834,979,1061,1289,1257,1048,860,610,559,678,569,494,265,118,48,15,-,-
" "," "," 女",10670,796,683,608,802,873,868,771,771,670,619,544,558,623,538,437,296,126,65,19,3,-
" "," 水里鄉"
" "," "," 合計",22632,1295,1313,1381,1865,1985,1748,1701,1691,1779,1565,1101,1075,1193,1068,906,554,264,111,31,5,1
" "," "," 男",11952,665,673,697,958,1074,972,980,954,960,877,549,517,607,522,471,295,111,53,14,2,1
" "," "," 女",10680,630,640,684,907,911,776,721,737,819,688,552,558,586,546,435,259,153,58,17,3,-
" "," 信義鄉"
" "," "," 合計",17673,1443,1509,1391,1657,1528,1376,1472,1527,1386,1054,662,552,553,538,463,324,162,49,22,4,1
" "," "," 男",9709,733,763,767,843,810,771,863,906,903,629,364,284,293,285,235,158,69,23,10,-,-
" "," "," 女",7964,710,746,624,814,718,605,609,621,483,425,298,268,260,253,228,166,93,26,12,4,1
" "," 仁愛鄉"
" "," "," 合計",15294,1327,1118,870,1356,1497,1205,1262,1393,1200,1038,704,471,462,455,479,289,110,48,10,-,-
" "," "," 男",8276,667,576,435,700,767,692,774,796,689,581,397,241,205,229,306,143,51,26,1,-,-
" "," "," 女",7018,660,542,435,656,730,513,488,597,511,457,307,230,257,226,173,146,59,22,9,-,-
" 民國90年底"
" "," 合計"
" "," "," 合計",541818,34449,37452,37537,42824,47729,41920,41853,44493,42584,37767,29262,21097,23800,20646,17681,11303,5985,2511,790,116,19
" "," "," 男",282669,17836,19351,19627,22039,24557,21991,22626,24276,22980,20246,15250,10804,11986,10346,9073,5606,2637,1093,297,42,6
" "," "," 女",259149,16613,18101,17910,20785,23172,19929,19227,20217,19604,17521,14012,10293,11814,10300,8608,5697,3348,1418,493,74,13
" "," 南投市"
" "," "," 合計",104563,6098,7965,8695,9226,9372,7591,7585,8563,8589,7516,5593,3693,3930,3346,3010,2011,1126,448,181,21,4
" "," "," 男",53277,3149,4119,4606,4720,4832,3886,3885,4223,4273,3857,2800,1804,1877,1637,1625,1110,559,235,73,6,1
" "," "," 女",51286,2949,3846,4089,4506,4540,3705,3700,4340,4316,3659,2793,1889,2053,1709,1385,901,567,213,108,15,3
" "," 埔里鎮"
" "," "," 合計",87519,5403,6016,6220,6656,7718,6789,6875,7388,7131,6441,4843,3548,3537,3076,2736,1811,862,346,98,19,6
" "," "," 男",44958,2780,3071,3242,3439,3950,3485,3551,3891,3680,3251,2478,1787,1775,1496,1507,971,417,145,34,6,2
" "," "," 女",42561,2623,2945,2978,3217,3768,3304,3324,3497,3451,3190,2365,1761,1762,1580,1229,840,445,201,64,13,4
" "," 草屯鎮"
" "," "," 合計",98180,6155,7467,7400,8121,9081,7495,7761,8090,7905,7109,5322,3511,3918,3324,2670,1539,803,359,119,28,3
" "," "," 男",50180,3226,3848,3871,4127,4673,3828,3889,4182,4027,3702,2795,1864,1919,1711,1305,699,321,145,39,8,1
" "," "," 女",48000,2929,3619,3529,3994,4408,3667,3872,3908,3878,3407,2527,1647,1999,1613,1365,840,482,214,80,20,2
" "," 竹山鎮"
" "," "," 合計",61068,3838,3807,4076,4912,5760,4990,4606,4658,4424,4100,3585,2546,2976,2496,1979,1220,688,317,83,7,-
" "," "," 男",31847,1989,1995,2140,2544,2932,2705,2528,2577,2389,2144,1846,1295,1532,1272,964,569,279,116,30,1,-
" "," "," 女",29221,1849,1812,1936,2368,2828,2285,2078,2081,2035,1956,1739,1251,1444,1224,1015,651,409,201,53,6,-
" "," 集集鎮"
" "," "," 合計",12302,852,780,651,781,901,931,1035,973,915,743,669,530,732,666,490,347,187,91,26,2,-
" "," "," 男",6532,429,402,305,405,473,475,613,576,560,419,370,266,375,344,248,165,67,30,9,1,-
" "," "," 女",5770,423,378,346,376,428,456,422,397,355,324,299,264,357,322,242,182,120,61,17,1,-
" "," 名間鄉"
" "," "," 合計",42900,2973,2867,2665,3186,3640,3513,3421,3468,3186,2824,2245,1751,2036,1865,1451,933,558,232,73,13,-
" "," "," 男",22735,1579,1435,1388,1700,1856,1846,1895,1947,1843,1615,1141,928,1090,952,732,422,235,99,25,7,-
" "," "," 女",20165,1394,1432,1277,1486,1784,1667,1526,1521,1343,1209,1104,823,946,913,719,511,323,133,48,6,-
" "," 鹿谷鄉"
" "," "," 合計",20597,1276,1202,1147,1487,1747,1546,1496,1700,1639,1362,1072,847,1093,1011,919,558,309,142,38,6,-
" "," "," 男",10985,635,626,593,777,891,812,863,1007,998,818,574,438,576,469,438,262,123,58,23,4,-
" "," "," 女",9612,641,576,554,710,856,734,633,693,641,544,498,409,517,542,481,296,186,84,15,2,-
" "," 中寮鄉"
" "," "," 合計",17680,1249,867,847,1110,1288,1322,1483,1541,1320,1067,926,831,1058,969,775,550,306,137,32,2,-
" "," "," 男",9684,689,461,436,560,653,701,896,982,811,661,533,444,540,499,374,245,125,57,16,1,-
" "," "," 女",7996,560,406,411,550,635,621,587,559,509,406,393,387,518,470,401,305,181,80,16,1,-
" "," 魚池鄉"
" "," "," 合計",17833,1193,985,877,1129,1479,1458,1310,1416,1327,1238,1028,824,956,895,784,512,267,106,42,3,4
" "," "," 男",9618,609,522,445,576,760,774,767,879,788,714,578,443,504,465,369,239,121,49,14,1,1
" "," "," 女",8215,584,463,432,553,719,684,543,537,539,524,450,381,452,430,415,273,146,57,28,2,3
" "," 國姓鄉"
" "," "," 合計",23401,1567,1440,1308,1568,1730,1866,1976,2068,1722,1545,1232,1033,1310,1022,984,590,281,119,32,8,-
" "," "," 男",12871,794,770,716,798,915,1028,1211,1311,1056,890,662,524,672,527,513,283,130,53,14,4,-
" "," "," 女",10530,773,670,592,770,815,838,765,757,666,655,570,509,638,495,471,307,151,66,18,4,-
" "," 水里鄉"
" "," "," 合計",22479,1215,1337,1350,1739,1974,1740,1680,1674,1757,1622,1213,962,1221,1022,948,569,302,113,37,3,1
" "," "," 男",11882,625,695,687,900,1056,960,969,954,971,885,617,480,609,500,475,298,129,57,12,2,1
" "," "," 女",10597,590,642,663,839,918,780,711,720,786,737,596,482,612,522,473,271,173,56,25,1,-
" "," 信義鄉"
" "," "," 合計",17811,1341,1562,1398,1626,1542,1427,1421,1504,1428,1112,747,550,554,538,480,325,179,53,20,3,1
" "," "," 男",9741,672,807,747,837,789,796,828,899,912,671,412,284,300,279,245,156,77,23,6,1,-
" "," "," 女",8070,669,755,651,789,753,631,593,605,516,441,335,266,254,259,235,169,102,30,14,2,1
" "," 仁愛鄉"
" "," "," 合計",15485,1289,1157,903,1283,1497,1252,1204,1450,1241,1088,787,471,479,416,455,338,117,48,9,1,-
" "," "," 男",8359,660,600,451,656,777,695,731,848,672,619,444,247,217,195,278,187,54,26,2,-,-
