"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" "," "," 女",5390,520,378,389,497,595,582,551,519,539,452,368,361,490,470,413,312,193,85,23,3,1
" "," 魚池鄉"
" "," "," 合計",13192,1106,988,877,1023,1394,1454,1266,1339,1337,1259,1149,820,897,852,834,548,334,114,47,6,1
" "," "," 男",7279,566,519,463,516,724,759,717,838,801,721,655,452,476,428,409,241,152,46,20,2,-
" "," "," 女",5913,540,469,414,507,670,695,549,501,536,538,494,368,421,424,425,307,182,68,27,4,1
" "," 國姓鄉"
" "," "," 合計",17380,1428,1309,1239,1428,1661,1741,1803,1986,1801,1636,1348,993,1171,1120,981,659,317,132,35,6,1
" "," "," 男",9855,737,691,662,751,859,940,1065,1305,1103,967,775,495,600,575,495,326,136,56,13,4,-
" "," "," 女",7525,691,618,577,677,802,801,738,681,698,669,573,498,571,545,486,333,181,76,22,2,1
" "," 水里鄉"
" "," "," 合計",16921,1167,1221,1330,1609,1939,1698,1586,1595,1682,1697,1397,906,1199,1006,927,644,335,123,40,4,1
" "," "," 男",9154,607,651,674,815,1020,947,912,915,942,901,770,456,587,489,463,321,160,64,12,2,1
" "," "," 女",7767,560,570,656,794,919,751,674,680,740,796,627,450,612,517,464,323,175,59,28,2,-
" "," 信義鄉"
" "," "," 合計",14864,1222,1430,1361,1524,1615,1391,1333,1399,1488,1227,874,544,573,512,458,364,187,69,15,6,1
" "," "," 男",8243,626,739,682,812,830,768,769,853,897,755,512,269,299,277,225,189,78,28,6,3,-
" "," "," 女",6621,596,691,679,712,785,623,564,546,591,472,362,275,274,235,233,175,109,41,9,3,1
" "," 仁愛鄉"
" "," "," 合計",13128,1225,1081,942,1121,1558,1291,1128,1340,1332,1178,932,534,455,423,396,384,141,52,16,3,-
" "," "," 男",7129,647,548,484,564,818,722,647,793,731,649,526,282,212,186,217,230,60,28,7,-,-
" "," "," 女",5999,578,533,458,557,740,569,481,547,601,529,406,252,243,237,179,154,81,24,9,3,-
" 民國93年底"
" "," 合計"
" "," "," 合計",538413,29926,34179,37464,38150,46257,44171,38460,41299,43922,40098,34710,23115,22241,21533,18202,13407,7166,2958,959,172,24
" "," "," 男",280187,15503,17664,19521,19747,23861,23186,20356,22441,23672,21361,18457,11831,11205,10672,9030,6730,3253,1241,376,70,10
" "," "," 女",258226,14423,16515,17943,18403,22396,20985,18104,18858,20250,18737,16253,11284,11036,10861,9172,6677,3913,1717,583,102,14
" "," 南投市"
" "," "," 合計",105356,5190,7293,8701,8379,9676,8474,7001,7892,8641,8118,6869,4291,3795,3507,2995,2396,1354,545,191,42,6
" "," "," 男",53520,2714,3735,4599,4330,4997,4407,3547,3901,4244,4049,3490,2157,1794,1681,1494,1305,689,280,84,20,3
" "," "," 女",51836,2476,3558,4102,4049,4679,4067,3454,3991,4397,4069,3379,2134,2001,1826,1501,1091,665,265,107,22,3
" "," 埔里鎮"
" "," "," 合計",87069,4571,5841,6260,5969,7237,7159,6399,6706,7336,6716,5823,3842,3485,3230,2669,2176,1070,427,123,23,7
" "," "," 男",44491,2384,2970,3226,3047,3737,3690,3225,3510,3813,3411,2920,1949,1743,1540,1363,1178,541,192,43,6,3
" "," "," 女",42578,2187,2871,3034,2922,3500,3469,3174,3196,3523,3305,2903,1893,1742,1690,1306,998,529,235,80,17,4
" "," 草屯鎮"
" "," "," 合計",99342,5484,6753,7658,7303,8933,8342,7203,7770,8211,7429,6489,4093,3738,3568,2897,1946,935,410,146,29,5
" "," "," 男",50708,2810,3515,3975,3817,4588,4326,3612,3936,4216,3780,3402,2094,1898,1796,1449,890,396,146,48,11,3
" "," "," 女",48634,2674,3238,3683,3486,4345,4016,3591,3834,3995,3649,3087,1999,1840,1772,1448,1056,539,264,98,18,2
" "," 竹山鎮"
" "," "," 合計",60022,3363,3518,3837,4262,5330,5340,4257,4288,4588,4178,3964,2835,2737,2646,2162,1436,808,345,114,13,1
" "," "," 男",31261,1760,1836,2007,2230,2751,2845,2340,2346,2501,2186,2043,1449,1404,1324,1054,682,338,119,39,7,-
" "," "," 女",28761,1603,1682,1830,2032,2579,2495,1917,1942,2087,1992,1921,1386,1333,1322,1108,754,470,226,75,6,1
" "," 集集鎮"
" "," "," 合計",12393,740,773,742,688,892,901,1010,976,1000,802,717,580,612,688,560,361,222,99,24,6,-
" "," "," 男",6544,369,385,362,351,455,483,533,590,570,483,401,309,306,352,289,174,93,28,8,3,-
" "," "," 女",5849,371,388,380,337,437,418,477,386,430,319,316,271,306,336,271,187,129,71,16,3,-
" "," 名間鄉"
" "," "," 合計",42454,2595,2517,2653,2868,3482,3488,3175,3368,3340,2995,2610,1822,1888,1886,1646,1076,639,284,106,15,1
" "," "," 男",22461,1368,1288,1378,1493,1820,1800,1729,1880,1911,1690,1426,909,1038,994,808,523,247,114,39,5,1
" "," "," 女",19993,1227,1229,1275,1375,1662,1688,1446,1488,1429,1305,1184,913,850,892,838,553,392,170,67,10,-
" "," 鹿谷鄉"
" "," "," 合計",20077,1039,1025,1084,1320,1617,1639,1325,1431,1708,1522,1271,865,957,1030,930,708,390,157,53,6,-
" "," "," 男",10727,523,542,569,674,839,861,742,851,996,909,752,450,493,510,431,330,159,68,23,5,-
" "," "," 女",9350,516,483,515,646,778,778,583,580,712,613,519,415,464,520,499,378,231,89,30,1,-
" "," 中寮鄉"
" "," "," 合計",17031,1050,798,782,955,1229,1216,1210,1464,1401,1189,1003,813,939,993,819,591,356,169,47,6,1
" "," "," 男",9336,549,441,414,473,636,637,681,930,879,716,630,449,465,518,398,275,153,68,21,3,-
" "," "," 女",7695,501,357,368,482,593,579,529,534,522,473,373,364,474,475,421,316,203,101,26,3,1
" "," 魚池鄉"
" "," "," 合計",17541,1037,941,899,982,1333,1440,1266,1281,1358,1290,1211,837,853,878,836,571,347,124,46,10,1
" "," "," 男",9462,536,501,469,510,672,755,722,777,815,752,695,473,451,438,411,251,156,53,22,3,-
" "," "," 女",8079,501,440,430,472,661,685,544,504,543,538,516,364,402,440,425,320,191,71,24,7,1
" "," 國姓鄉"
" "," "," 合計",22392,1355,1214,1225,1333,1625,1692,1705,1892,1855,1637,1389,1049,1112,1142,946,706,336,136,35,7,1
" "," "," 男",12322,699,646,661,705,817,924,1002,1229,1121,1001,809,536,555,561,481,356,141,61,14,3,-
" "," "," 女",10070,656,568,564,628,808,768,703,663,734,636,580,513,557,581,465,350,195,75,21,4,1
" "," 水里鄉"
" "," "," 合計",21837,1133,1152,1281,1525,1855,1734,1516,1602,1655,1710,1467,914,1129,1036,906,688,350,134,44,6,-
" "," "," 男",11532,576,600,659,776,952,970,857,933,931,935,812,445,551,497,440,336,181,58,22,1,-
" "," "," 女",10305,557,552,622,749,903,764,659,669,724,775,655,469,578,539,466,352,169,76,22,5,-
" "," 信義鄉"
" "," "," 合計",17421,1183,1304,1377,1489,1615,1385,1279,1361,1456,1293,930,572,549,510,464,358,200,72,17,6,1
" "," "," 男",9530,594,671,696,798,853,748,728,820,898,792,545,284,286,279,226,184,92,26,7,3,-
" "," "," 女",7891,589,633,681,691,762,637,551,541,558,501,385,288,263,231,238,174,108,46,10,3,1
" "," 仁愛鄉"
" "," "," 合計",15478,1186,1050,965,1077,1433,1361,1114,1268,1373,1219,967,602,447,419,372,394,159,56,13,3,-
" "," "," 男",8293,621,534,506,543,744,740,638,738,777,657,532,327,221,182,186,246,67,28,6,-,-
" "," "," 女",7185,565,516,459,534,689,621,476,530,596,562,435,275,226,237,186,148,92,28,7,3,-
" 民國94年底"
" "," 合計"
" "," "," 合計",537168,27551,33418,37101,37593,44878,45158,37517,40706,43555,40772,36252,25425,21008,21747,18390,14002,7665,3179,1023,204,24
" "," "," 男",279214,14312,17310,19265,19544,23166,23656,19840,21915,23418,21785,19182,13117,10601,10772,9021,6995,3542,1310,384,70,9
" "," "," 女",257954,13239,16108,17836,18049,21712,21502,17677,18791,20137,18987,17070,12308,10407,10975,9369,7007,4123,1869,639,134,15
" "," 南投市"
" "," "," 合計",105322,4843,7100,8573,8228,9457,8769,6994,7678,8559,8156,7135,4828,3655,3555,2999,2511,1420,601,207,48,6
" "," "," 男",53438,2576,3632,4462,4292,4863,4593,3536,3784,4218,4061,3610,2438,1744,1672,1460,1336,745,302,92,20,2
" "," "," 女",51884,2267,3468,4111,3936,4594,4176,3458,3894,4341,4095,3525,2390,1911,1883,1539,1175,675,299,115,28,4
" "," 埔里鎮"
" "," "," 合計",86920,4150,5736,6277,5975,6959,7271,6188,6667,7258,6838,6110,4174,3366,3255,2664,2232,1164,464,132,33,7
" "," "," 男",44304,2139,2936,3252,3099,3565,3724,3162,3438,3736,3474,3040,2126,1672,1589,1297,1210,584,208,43,8,2
" "," "," 女",42616,2011,2800,3025,2876,3394,3547,3026,3229,3522,3364,3070,2048,1694,1666,1367,1022,580,256,89,25,5
" "," 草屯鎮"
" "," "," 合計",99523,5048,6592,7614,7329,8638,8697,7018,7751,8036,7626,6851,4559,3489,3601,2953,2070,1039,427,149,31,5
" "," "," 男",50753,2599,3454,3929,3786,4451,4546,3525,3896,4118,3873,3550,2351,1800,1767,1487,957,453,152,50,6,3
" "," "," 女",48770,2449,3138,3685,3543,4187,4151,3493,3855,3918,3753,3301,2208,1689,1834,1466,1113,586,275,99,25,2
" "," 竹山鎮"
" "," "," 合計",59796,3051,3516,3831,4085,5130,5451,4202,4305,4520,4186,4077,3093,2567,2687,2217,1521,844,365,131,16,1
" "," "," 男",31167,1615,1830,1996,2154,2647,2885,2305,2332,2491,2220,2092,1578,1324,1360,1094,709,360,125,43,7,-
" "," "," 女",28629,1436,1686,1835,1931,2483,2566,1897,1973,2029,1966,1985,1515,1243,1327,1123,812,484,240,88,9,1
" "," 集集鎮"
" "," "," 合計",12311,670,752,711,717,851,916,966,986,975,848,719,632,561,685,580,378,233,97,29,5,-
" "," "," 男",6495,340,375,355,354,432,483,505,598,560,510,395,338,282,340,306,182,104,25,8,3,-
" "," "," 女",5816,330,377,356,363,419,433,461,388,415,338,324,294,279,345,274,196,129,72,21,2,-
" "," 名間鄉"
" "," "," 合計",42253,2360,2526,2599,2823,3368,3491,3104,3278,3392,3040,2720,1971,1795,1868,1690,1119,665,314,112,17,1
" "," "," 男",22380,1246,1314,1367,1458,1800,1783,1664,1836,1930,1728,1518,977,966,997,815,541,270,124,39,6,1
" "," "," 女",19873,1114,1212,1232,1365,1568,1708,1440,1442,1462,1312,1202,994,829,871,875,578,395,190,73,11,-
" "," 鹿谷鄉"
" "," "," 合計",19879,945,965,1054,1293,1551,1650,1281,1381,1646,1587,1367,927,910,1010,927,750,398,176,53,7,1
" "," "," 男",10625,478,504,556,662,809,851,728,827,943,946,814,488,472,518,425,346,164,67,20,6,1
" "," "," 女",9254,467,461,498,631,742,799,553,554,703,641,553,439,438,492,502,404,234,109,33,1,-
" "," 中寮鄉"
" "," "," 合計",16941,927,829,756,929,1224,1204,1125,1419,1437,1233,1065,859,857,1017,836,611,384,167,50,12,-
" "," "," 男",9292,487,467,402,477,602,649,629,873,908,756,649,490,436,523,400,290,166,64,19,5,-
" "," "," 女",7649,440,362,354,452,622,555,496,546,529,477,416,369,421,494,436,321,218,103,31,7,-
" "," 魚池鄉"
" "," "," 合計",17549,950,943,889,953,1308,1413,1268,1290,1368,1309,1227,940,804,905,814,621,345,145,46,11,-
" "," "," 男",9424,490,491,473,491,672,728,711,767,807,765,698,531,421,449,410,286,148,63,20,3,-
" "," "," 女",8125,460,452,416,462,636,685,557,523,561,544,529,409,383,456,404,335,197,82,26,8,-
" "," 國姓鄉"
" "," "," 合計",22133,1262,1105,1216,1322,1563,1700,1613,1810,1892,1670,1415,1102,1044,1174,944,740,378,134,43,5,1
" "," "," 男",12144,651,601,637,709,803,913,927,1143,1171,1008,813,583,516,592,464,371,168,58,14,2,-
" "," "," 女",9989,611,504,579,613,760,787,686,667,721,662,602,519,528,582,480,369,210,76,29,3,1
" "," 水里鄉"
" "," "," 合計",21613,1030,1107,1259,1441,1824,1799,1425,1555,1616,1723,1503,1028,1013,1062,937,716,375,153,39,7,1
" "," "," 男",11410,520,571,648,738,945,989,814,897,905,937,846,509,489,525,445,353,188,66,23,2,-
" "," "," 女",10203,510,536,611,703,879,810,611,658,711,786,657,519,524,537,492,363,187,87,16,5,1
" "," 信義鄉"
" "," "," 合計",17356,1143,1213,1370,1456,1641,1386,1216,1350,1438,1309,1015,631,511,511,461,362,235,82,16,9,1
" "," "," 男",9469,583,608,696,793,858,753,696,797,849,828,584,329,264,260,240,184,107,32,6,2,-
" "," "," 女",7887,560,605,674,663,783,633,520,553,589,481,431,302,247,251,221,178,128,50,10,7,1
" "," 仁愛鄉"
" "," "," 合計",15572,1172,1034,952,1042,1364,1411,1117,1236,1418,1247,1048,681,436,417,368,371,185,54,16,3,-
" "," "," 男",8313,588,527,492,531,719,759,638,727,782,679,573,379,215,180,178,230,85,24,7,-,-
" "," "," 女",7259,584,507,460,511,645,652,479,509,636,568,475,302,221,237,190,141,100,30,9,3,-
" 民國95年底"
" "," 合計"
" "," "," 合計",535205,25522,32080,36891,37740,42311,45155,37956,39601,43145,41532,36795,28343,20145,22063,18280,14595,8194,3554,1056,218,29
" "," "," 男",277643,13231,16691,19061,19715,21834,23380,20058,21195,23220,22164,19445,14642,10174,10917,8905,7224,3828,1463,414,71,11
" "," "," 女",257562,12291,15389,17830,18025,20477,21775,17898,18406,19925,19368,17350,13701,9971,11146,9375,7371,4366,2091,642,147,18
" "," 南投市"
" "," "," 合計",105506,4500,6771,8593,8334,8947,8952,7209,7461,8456,8358,7276,5396,3569,3655,3037,2536,1522,680,191,58,5
" "," "," 男",53400,2384,3524,4373,4398,4600,4640,3657,3716,4167,4138,3695,2678,1708,1707,1454,1322,802,318,95,21,3
" "," "," 女",52106,2116,3247,4220,3936,4347,4312,3552,3745,4289,4220,3581,2718,1861,1948,1583,1214,720,362,96,37,2
" "," 埔里鎮"
" "," "," 合計",86684,3879,5542,6304,6053,6536,7163,6230,6592,7151,6947,6154,4646,3335,3224,2704,2235,1292,508,150,30,9
" "," "," 男",44076,1989,2855,3206,3124,3391,3657,3161,3367,3680,3540,3047,2364,1656,1587,1287,1194,671,237,54,7,2
" "," "," 女",42608,1890,2687,3098,2929,3145,3506,3069,3225,3471,3407,3107,2282,1679,1637,1417,1041,621,271,96,23,7
" "," 草屯鎮"
" "," "," 合計",99752,4765,6339,7515,7415,8129,8918,7170,7611,7977,7818,6967,5191,3338,3655,2951,2190,1157,469,148,23,6
" "," "," 男",50760,2428,3320,3898,3851,4153,4612,3635,3819,4096,3930,3581,2683,1751,1767,1488,1029,490,165,55,7,2
" "," "," 女",48992,2337,3019,3617,3564,3976,4306,3535,3792,3881,3888,3386,2508,1587,1888,1463,1161,667,304,93,16,4
" "," 竹山鎮"
" "," "," 合計",59415,2784,3395,3781,4033,4780,5422,4352,4212,4438,4280,3980,3455,2418,2785,2208,1664,861,406,138,22,1
" "," "," 男",30868,1457,1738,1990,2146,2480,2779,2410,2267,2413,2300,2048,1764,1216,1414,1099,772,375,148,44,7,1
" "," "," 女",28547,1327,1657,1791,1887,2300,2643,1942,1945,2025,1980,1932,1691,1202,1371,1109,892,486,258,94,15,-
" "," 集集鎮"
" "," "," 合計",12216,613,729,710,717,819,897,891,1004,946,895,737,669,515,692,582,396,252,112,33,6,1
" "," "," 男",6455,317,376,371,349,413,465,456,602,543,538,409,364,261,345,290,197,111,35,11,2,-
" "," "," 女",5761,296,353,339,368,406,432,435,402,403,357,328,305,254,347,292,199,141,77,22,4,1
" "," 名間鄉"
" "," "," 合計",41910,2153,2414,2525,2804,3213,3479,3129,3162,3380,3076,2742,2201,1680,1901,1659,1227,668,363,116,16,2
" "," "," 男",22172,1127,1292,1303,1472,1709,1760,1672,1754,1897,1777,1537,1114,890,1005,810,593,274,138,42,5,1
" "," "," 女",19738,1026,1122,1222,1332,1504,1719,1457,1408,1483,1299,1205,1087,790,896,849,634,394,225,74,11,1
" "," 鹿谷鄉"
" "," "," 合計",19761,875,932,1025,1252,1500,1609,1277,1338,1615,1618,1390,1064,839,1029,916,784,430,195,61,11,1
" "," "," 男",10555,460,473,539,640,786,838,712,788,923,962,832,562,429,541,418,360,193,72,21,5,1
" "," "," 女",9206,415,459,486,612,714,771,565,550,692,656,558,502,410,488,498,424,237,123,40,6,-
" "," 中寮鄉"
" "," "," 合計",16763,818,835,746,928,1150,1179,1098,1322,1452,1282,1085,917,824,992,859,620,402,186,55,13,-
" "," "," 男",9182,442,455,403,488,566,615,608,802,912,785,664,532,434,496,424,292,167,72,22,3,-
" "," "," 女",7581,376,380,343,440,584,564,490,520,540,497,421,385,390,496,435,328,235,114,33,10,-
" "," 魚池鄉"
" "," "," 合計",17422,858,916,868,1013,1175,1372,1280,1231,1389,1301,1251,1013,802,909,791,659,369,163,47,15,-
" "," "," 男",9337,440,476,456,523,590,720,699,721,830,763,723,558,422,469,390,301,156,74,21,5,-
" "," "," 女",8085,418,440,412,490,585,652,581,510,559,538,528,455,380,440,401,358,213,89,26,10,-
" "," 國姓鄉"
" "," "," 合計",21776,1118,1069,1215,1313,1497,1577,1560,1734,1924,1666,1480,1166,975,1198,877,799,411,151,39,6,1
" "," "," 男",11980,578,578,653,702,771,843,905,1069,1215,1010,836,634,481,601,438,402,181,67,13,2,1
" "," "," 女",9796,540,491,562,611,726,734,655,665,709,656,644,532,494,597,439,397,230,84,26,4,-
" "," 水里鄉"
" "," "," 合計",21273,928,1038,1257,1391,1701,1797,1370,1506,1580,1707,1562,1163,914,1097,901,765,375,169,42,9,1
" "," "," 男",11219,461,542,651,723,866,971,789,873,890,937,848,591,459,536,428,366,182,78,24,4,-
" "," "," 女",10054,467,496,606,668,835,826,581,633,690,770,714,572,455,561,473,399,193,91,18,5,1
" "," 信義鄉"
" "," "," 合計",17222,1078,1118,1384,1465,1593,1385,1215,1280,1414,1344,1059,704,496,502,457,370,232,100,19,6,1
" "," "," 男",9401,559,564,720,779,837,732,702,741,843,838,615,373,255,265,230,189,110,41,6,2,-
" "," "," 女",7821,519,554,664,686,756,653,513,539,571,506,444,331,241,237,227,181,122,59,13,4,1
" "," 仁愛鄉"
" "," "," 合計",15505,1153,982,968,1022,1271,1405,1175,1148,1423,1240,1112,758,440,424,338,350,223,52,17,3,1
" "," "," 男",8238,589,498,498,520,672,748,652,676,811,646,610,425,212,184,149,207,116,18,6,1,-
" "," "," 女",7267,564,484,470,502,599,657,523,472,612,594,502,333,228,240,189,143,107,34,11,2,1
" 民國96年底"
" "," 合計"
" "," "," 合計",533717,23835,30359,36770,37818,40333,45718,38237,38985,41781,42561,37359,30785,19851,21967,18554,14850,8771,3810,1129,215,29
" "," "," 男",276368,12362,15820,18954,19734,20823,23607,20081,20780,22481,22654,19726,16038,9974,10899,8946,7215,4172,1590,421,78,13
" "," "," 女",257349,11473,14539,17816,18084,19510,22111,18156,18205,19300,19907,17633,14747,9877,11068,9608,7635,4599,2220,708,137,16
" "," 南投市"
" "," "," 合計",105671,4303,6312,8707,8420,8524,9227,7210,7357,8153,8598,7367,5971,3566,3673,3082,2552,1645,731,216,50,7
" "," "," 男",53454,2314,3273,4462,4464,4365,4755,3696,3671,3973,4246,3715,3004,1719,1715,1442,1292,878,348,98,18,6
" "," "," 女",52217,1989,3039,4245,3956,4159,4472,3514,3686,4180,4352,3652,2967,1847,1958,1640,1260,767,383,118,32,1
" "," 埔里鎮"
" "," "," 合計",86415,3602,5193,6423,5968,6256,7252,6231,6528,6877,7063,6248,5116,3299,3283,2736,2193,1390,561,158,31,7
" "," "," 男",43841,1814,2728,3239,3097,3202,3709,3181,3330,3530,3597,3131,2547,1633,1629,1285,1117,733,267,61,10,1
" "," "," 女",42574,1788,2465,3184,2871,3054,3543,3050,3198,3347,3466,3117,2569,1666,1654,1451,1076,657,294,97,21,6
" "," 草屯鎮"
" "," "," 合計",99884,4451,6105,7404,7499,7777,8997,7376,7493,7921,7916,7048,5641,3411,3670,3009,2250,1242,486,161,22,5
" "," "," 男",50679,2244,3187,3787,3892,4026,4617,3718,3771,4063,3968,3604,2904,1761,1800,1500,1055,540,176,56,10,-
" "," "," 女",49205,2207,2918,3617,3607,3751,4380,3658,3722,3858,3948,3444,2737,1650,1870,1509,1195,702,310,105,12,5
" "," 竹山鎮"
" "," "," 合計",59329,2664,3289,3789,3955,4503,5451,4447,4216,4311,4398,3997,3640,2411,2712,2298,1709,947,419,150,22,1
" "," "," 男",30787,1406,1679,1986,2111,2335,2785,2449,2255,2326,2367,2065,1872,1216,1385,1117,801,420,158,46,7,1
" "," "," 女",28542,1258,1610,1803,1844,2168,2666,1998,1961,1985,2031,1932,1768,1195,1327,1181,908,527,261,104,15,-
" "," 集集鎮"
" "," "," 合計",12109,542,674,700,730,781,917,855,985,942,932,742,724,470,678,581,438,256,119,37,5,1
" "," "," 男",6364,281,336,352,376,377,491,437,560,554,546,423,401,227,337,289,214,113,37,11,1,1
" "," "," 女",5745,261,338,348,354,404,426,418,425,388,386,319,323,243,341,292,224,143,82,26,4,-
" "," 名間鄉"
" "," "," 合計",41677,1964,2249,2491,2877,3084,3471,3122,3127,3240,3246,2763,2357,1611,1885,1664,1312,687,391,115,21,-
" "," "," 男",22039,1036,1194,1295,1507,1618,1782,1631,1721,1814,1895,1559,1217,833,1011,815,622,301,142,37,9,-
" "," "," 女",19638,928,1055,1196,1370,1466,1689,1491,1406,1426,1351,1204,1140,778,874,849,690,386,249,78,12,-
" "," 鹿谷鄉"
" "," "," 合計",19581,819,843,990,1216,1447,1613,1300,1311,1510,1654,1426,1175,807,991,923,812,451,216,59,16,2
" "," "," 男",10453,440,433,515,613,752,840,718,776,866,975,838,645,410,523,424,364,213,83,17,6,2
" "," "," 女",9128,379,410,475,603,695,773,582,535,644,679,588,530,397,468,499,448,238,133,42,10,-
" "," 中寮鄉"
" "," "," 合計",16587,719,775,732,914,1071,1208,1084,1267,1399,1366,1132,967,776,967,885,647,416,190,62,10,-
" "," "," 男",9059,368,423,409,484,531,619,585,768,895,819,683,571,418,472,436,312,162,75,26,3,-
" "," "," 女",7528,351,352,323,430,540,589,499,499,504,547,449,396,358,495,449,335,254,115,36,7,-
" "," 魚池鄉"
" "," "," 合計",17342,765,855,898,1042,1092,1392,1296,1218,1309,1345,1280,1082,787,902,763,690,387,178,46,15,-
" "," "," 男",9243,395,445,469,533,533,729,687,700,781,786,725,602,424,466,373,336,152,79,23,5,-
" "," "," 女",8099,370,410,429,509,559,663,609,518,528,559,555,480,363,436,390,354,235,99,23,10,-
" "," 國姓鄉"
" "," "," 合計",21497,1024,1037,1131,1322,1458,1524,1513,1713,1838,1708,1499,1260,939,1153,945,775,448,162,40,7,1
" "," "," 男",11806,537,557,610,697,768,790,857,1043,1190,1028,847,709,455,580,473,381,200,70,11,2,1
" "," "," 女",9691,487,480,521,625,690,734,656,670,648,680,652,551,484,573,472,394,248,92,29,5,-
" "," 水里鄉"
" "," "," 合計",20913,825,969,1223,1329,1601,1789,1370,1432,1557,1666,1618,1256,840,1101,891,789,422,178,47,9,1
" "," "," 男",11036,414,519,637,664,830,967,763,843,889,907,872,669,420,527,428,374,200,85,23,5,-
" "," "," 女",9877,411,450,586,665,771,822,607,589,668,759,746,587,420,574,463,415,222,93,24,4,1
" "," 信義鄉"
" "," "," 合計",17258,1067,1074,1370,1497,1539,1435,1215,1244,1362,1398,1099,758,500,520,436,364,239,114,20,4,3
" "," "," 男",9403,554,543,718,774,833,755,692,715,814,850,641,426,249,269,222,169,123,48,6,1,1
" "," "," 女",7855,513,531,652,723,706,680,523,529,548,548,458,332,251,251,214,195,116,66,14,3,2
" "," 仁愛鄉"
" "," "," 合計",15454,1090,984,912,1049,1200,1442,1218,1094,1362,1271,1140,838,434,432,341,319,241,65,18,3,1
" "," "," 男",8204,559,503,475,522,653,768,667,627,786,670,623,471,209,185,142,178,137,22,6,1,-
" "," "," 女",7250,531,481,437,527,547,674,551,467,576,601,517,367,225,247,199,141,104,43,12,2,1
" 民國97年底"
" "," 合計"
" "," "," 合計",531753,22552,29000,35220,37466,39177,45569,38825,37640,40946,43375,38380,32545,20764,21595,18716,15083,9359,4076,1192,244,29
" "," "," 男",274915,11658,15119,18172,19522,20175,23606,20386,19828,22012,23090,20210,16990,10470,10630,9072,7257,4438,1716,459,93,12
" "," "," 女",256838,10894,13881,17048,17944,19002,21963,18439,17812,18934,20285,18170,15555,10294,10965,9644,7826,4921,2360,733,151,17
" "," 南投市"
" "," "," 合計",105143,4140,5980,8219,8199,8332,9333,7428,7084,7915,8689,7606,6332,3767,3664,3091,2549,1734,796,220,57,8
" "," "," 男",53077,2193,3135,4211,4312,4306,4801,3831,3518,3859,4283,3803,3162,1838,1699,1453,1240,915,392,99,22,5
" "," "," 女",52066,1947,2845,4008,3887,4026,4532,3597,3566,4056,4406,3803,3170,1929,1965,1638,1309,819,404,121,35,3
" "," 埔里鎮"
" "," "," 合計",86189,3440,4880,6236,5948,6030,7228,6382,6320,6749,7135,6402,5463,3453,3274,2738,2202,1510,581,179,34,5
" "," "," 男",43661,1712,2552,3164,3086,3064,3737,3249,3185,3461,3631,3245,2690,1734,1606,1295,1104,774,282,77,12,1
" "," "," 女",42528,1728,2328,3072,2862,2966,3491,3133,3135,3288,3504,3157,2773,1719,1668,1443,1098,736,299,102,22,4
" "," 草屯鎮"
" "," "," 合計",100143,4344,5864,6970,7530,7586,8995,7619,7317,7792,8126,7131,6092,3641,3624,3097,2346,1339,530,167,27,6
" "," "," 男",50806,2205,3058,3608,3890,3946,4640,3862,3647,3964,4098,3624,3148,1862,1747,1548,1116,573,196,65,9,-
" "," "," 女",49337,2139,2806,3362,3640,3640,4355,3757,3670,3828,4028,3507,2944,1779,1877,1549,1230,766,334,102,18,6
" "," 竹山鎮"
" "," "," 合計",59003,2462,3184,3591,3896,4337,5353,4544,4113,4261,4483,4078,3754,2540,2715,2277,1779,1004,460,140,30,2
" "," "," 男",30534,1298,1607,1863,2085,2240,2756,2455,2200,2303,2434,2105,1911,1288,1373,1108,834,452,167,43,11,1
" "," "," 女",28469,1164,1577,1728,1811,2097,2597,2089,1913,1958,2049,1973,1843,1252,1342,1169,945,552,293,97,19,1
" "," 集集鎮"
" "," "," 合計",12055,511,625,687,751,751,916,844,938,922,997,763,703,508,637,617,435,269,130,46,4,1
" "," "," 男",6354,270,321,343,381,366,472,450,514,550,579,439,394,249,320,305,224,116,47,13,-,1
" "," "," 女",5701,241,304,344,370,385,444,394,424,372,418,324,309,259,317,312,211,153,83,33,4,-
" "," 名間鄉"
" "," "," 合計",41589,1830,2157,2461,2856,3012,3510,3064,3044,3209,3339,2840,2457,1657,1840,1685,1364,716,395,125,28,-
" "," "," 男",21936,964,1151,1264,1487,1562,1788,1615,1668,1793,1916,1578,1296,845,987,853,636,329,147,44,13,-
" "," "," 女",19653,866,1006,1197,1369,1450,1722,1449,1376,1416,1423,1262,1161,812,853,832,728,387,248,81,15,-
" "," 鹿谷鄉"
" "," "," 合計",19437,758,805,959,1209,1414,1560,1318,1260,1416,1701,1515,1224,813,956,927,796,510,219,59,16,2
" "," "," 男",10361,392,411,510,617,728,817,729,732,810,988,894,682,425,490,439,355,237,80,17,6,2
" "," "," 女",9076,366,394,449,592,686,743,589,528,606,713,621,542,388,466,488,441,273,139,42,10,-
" "," 中寮鄉"
