"人口統計指標-月 依 期間, 鄉鎮市別 與 項目別"

" "," "," 土地面積(平方公里)"," 村里數"," 鄰數"," 現住戶數"," 現住人口數"," 現住人口數--男"," 現住人口數--女"," 遷入人數"," 遷出人數"," 社會增加率(0/00)"," 出生人數"," 死亡人數"," 自然增加率(0/00)"," 戶量(人／戶) "," 性比例(男／女)x 100"," 人口密度( 人／平方公里 )"," 0-14歲--人口數"," 0-14歲--占總人口比率(%)"," 15-64歲--人口數"," 15-64歲--占總人口比率(%)"," 65歲以上--人口數"," 65歲以上--占總人口比率(%)"
" "," 12水上鄉",69.1198,26,409,18059,49915,25773,24142,154,168,-0.28,21,43,-0.44,2.76,106.76,722.15,4323,8.66,37645,75.42,7947,15.92
" "," 13中埔鄉",129.5016,22,375,15987,45234,23538,21696,114,135,-0.46,19,29,-0.22,2.83,108.49,349.29,4325,9.56,33778,74.67,7131,15.76
" "," 14竹崎鄉",162.2256,24,407,11716,36131,19271,16860,62,80,-0.50,24,17,0.19,3.08,114.30,222.72,3465,9.59,26001,71.96,6665,18.45
" "," 15梅山鄉",119.7571,18,200,6769,19689,10482,9207,30,51,-1.07,7,11,-0.20,2.91,113.85,164.41,1785,9.07,13666,69.41,4238,21.52
" "," 16番路鄉",117.5269,11,115,4265,11668,6308,5360,29,30,-0.09,5,8,-0.26,2.74,117.69,99.28,1075,9.21,8449,72.41,2144,18.38
" "," 17大埔鄉",173.2472,5,49,1945,4581,2377,2204,8,18,-2.18,4,2,0.44,2.36,107.85,26.44,482,10.52,3421,74.68,678,14.80
" "," 18阿里山鄉",427.8471,12,78,1943,5641,2987,2654,0,12,-2.12,3,7,-0.71,2.90,112.55,13.18,762,13.51,4097,72.63,782,13.86
"2017M05"
" "," 嘉義縣",1903.6367,357,5373,182645,513393,267174,246219,1217,1342,-0.24,217,471,-0.49,2.81,108.51,269.69,51630,10.06,368511,71.78,93252,18.16
" "," 01太保市",66.8964,18,260,12781,37584,19320,18264,121,109,0.32,10,24,-0.37,2.94,105.78,561.82,5091,13.55,27692,73.68,4801,12.77
" "," 02朴子市",49.5737,27,430,15677,42559,21542,21017,106,123,-0.40,20,31,-0.26,2.71,102.50,858.50,5707,13.41,29565,69.47,7287,17.12
" "," 03布袋鎮",61.7307,23,375,9980,27332,13961,13371,48,68,-0.73,12,34,-0.80,2.74,104.41,442.76,2316,8.47,19678,72.00,5338,19.53
" "," 04大林鎮",64.1663,21,317,11378,31307,16025,15282,65,79,-0.45,15,23,-0.26,2.75,104.86,487.90,3124,9.98,21874,69.87,6309,20.15
" "," 05民雄鄉",85.4969,28,522,24756,71787,36783,35004,212,191,0.29,27,59,-0.45,2.90,105.08,839.64,8009,11.16,53555,74.60,10223,14.24
" "," 06溪口鄉",33.0463,14,205,5371,14850,7944,6906,38,44,-0.40,11,15,-0.27,2.76,115.03,449.37,1215,8.18,10228,68.88,3407,22.94
