"人口統計指標-月 依 期間, 鄉鎮市別 與 項目別"

" "," "," 土地面積(平方公里)"," 村里數"," 鄰數"," 現住戶數"," 現住人口數"," 現住人口數--男"," 現住人口數--女"," 遷入人數"," 遷出人數"," 社會增加率(0/00)"," 出生人數"," 死亡人數"," 自然增加率(0/00)"," 戶量(人／戶) "," 性比例(男／女)x 100"," 人口密度( 人／平方公里 )"," 0-14歲--人口數"," 0-14歲--占總人口比率(%)"," 15-64歲--人口數"," 15-64歲--占總人口比率(%)"," 65歲以上--人口數"," 65歲以上--占總人口比率(%)"
"2014M12"
" "," 嘉義縣",1903.6367,357,5347,181300,524783,273324,251459,1744,2349,-1.15,290,481,-0.36,2.89,108.70,275.67,59838,11.40,376550,71.75,88395,16.84
" "," 01太保市",66.8964,18,250,12158,37038,19077,17961,176,156,0.54,19,29,-0.27,3.05,106.21,553.66,5544,14.97,27088,73.14,4406,11.90
" "," 02朴子市",49.5737,27,414,15405,43250,21923,21327,199,189,0.23,42,20,0.51,2.81,102.79,872.44,6393,14.78,29827,68.96,7030,16.25
" "," 03布袋鎮",61.7307,23,375,10115,28423,14565,13858,74,112,-1.34,15,30,-0.53,2.81,105.10,460.44,2812,9.89,20477,72.04,5134,18.06
" "," 04大林鎮",64.1663,21,317,11389,32159,16479,15680,88,128,-1.24,18,24,-0.19,2.82,105.10,501.18,3673,11.42,22463,69.85,6023,18.73
" "," 05民雄鄉",85.4969,28,522,24041,71903,36837,35066,293,294,-0.01,39,53,-0.19,2.99,105.05,841.00,8978,12.49,53557,74.49,9368,13.03
" "," 06溪口鄉",33.0463,14,205,5435,15393,8224,7169,43,119,-4.92,7,18,-0.71,2.83,114.72,465.80,1453,9.44,10604,68.89,3336,21.67
" "," 07新港鄉",66.0495,23,380,10589,33186,17576,15610,87,155,-2.05,20,34,-0.42,3.13,112.59,502.44,4296,12.95,22748,68.55,6142,18.51
" "," 08六腳鄉",62.2619,25,328,9024,24613,13052,11561,58,113,-2.23,15,38,-0.93,2.73,112.90,395.31,2102,8.54,16685,67.79,5826,23.67
" "," 09東石鄉",81.5821,23,357,9439,26235,13921,12314,69,164,-3.61,11,26,-0.57,2.78,113.05,321.58,2649,10.10,18138,69.14,5448,20.77
" "," 10義竹鄉",79.2925,22,311,7550,19578,10177,9401,44,99,-2.80,9,21,-0.61,2.59,108.25,246.91,1667,8.51,13447,68.68,4464,22.80
" "," 11鹿草鄉",54.3151,15,255,5820,16384,8771,7613,40,76,-2.19,9,22,-0.79,2.82,115.21,301.65,1479,9.03,11161,68.12,3744,22.85
" "," 12水上鄉",69.1198,26,409,17834,50726,26176,24550,205,244,-0.77,22,46,-0.47,2.84,106.62,733.89,5031,9.92,38284,75.47,7411,14.61
" "," 13中埔鄉",129.5016,22,375,15945,46156,24039,22117,167,191,-0.52,23,31,-0.17,2.89,108.69,356.41,4949,10.72,34644,75.06,6563,14.22
" "," 14竹崎鄉",162.2256,24,407,11592,36924,19704,17220,104,127,-0.62,15,42,-0.73,3.19,114.43,227.61,3982,10.78,26784,72.54,6158,16.68
" "," 15梅山鄉",119.7571,18,200,6762,20304,10782,9522,38,69,-1.53,12,26,-0.69,3.00,113.23,169.54,2082,10.25,14209,69.98,4013,19.76
" "," 16番路鄉",117.5269,11,115,4304,12089,6537,5552,31,78,-3.88,7,11,-0.33,2.81,117.74,102.86,1306,10.80,8764,72.50,2019,16.70
" "," 17大埔鄉",173.2472,5,49,1943,4658,2427,2231,10,13,-0.64,6,1,1.07,2.40,108.79,26.89,593,12.73,3481,74.73,584,12.54
" "," 18阿里山鄉",427.8471,12,78,1955,5764,3057,2707,18,22,-0.69,1,9,-1.39,2.95,112.93,13.47,849,14.73,4189,72.68,726,12.60
"2015M01"
" "," 嘉義縣",1903.6367,357,5347,181352,524276,273069,251207,1444,1717,-0.52,255,489,-0.45,2.89,108.70,275.41,59508,11.35,376156,71.75,88612,16.90
" "," 01太保市",66.8964,18,250,12174,37055,19077,17978,147,125,0.59,22,27,-0.14,3.04,106.11,553.92,5524,14.91,27118,73.18,4413,11.91
" "," 02朴子市",49.5737,27,414,15403,43240,21919,21321,140,139,0.02,23,34,-0.25,2.81,102.80,872.24,6374,14.74,29795,68.91,7071,16.35
" "," 03布袋鎮",61.7307,23,375,10115,28367,14527,13840,54,99,-1.58,14,25,-0.39,2.80,104.96,459.53,2782,9.81,20430,72.02,5155,18.17
" "," 04大林鎮",64.1663,21,317,11380,32106,16458,15648,65,94,-0.90,12,36,-0.75,2.82,105.18,500.36,3640,11.34,22439,69.89,6027,18.77
" "," 05民雄鄉",85.4969,28,522,24070,71929,36837,35092,271,223,0.67,28,50,-0.31,2.99,104.97,841.31,8960,12.46,53566,74.47,9403,13.07
" "," 06溪口鄉",33.0463,14,205,5421,15333,8189,7144,20,76,-3.65,8,12,-0.26,2.83,114.63,463.99,1431,9.33,10561,68.88,3341,21.79
" "," 07新港鄉",66.0495,23,380,10588,33158,17553,15605,83,90,-0.21,21,42,-0.63,3.13,112.48,502.02,4295,12.95,22728,68.54,6135,18.50
" "," 08六腳鄉",62.2619,25,328,9020,24562,13037,11525,47,82,-1.42,11,27,-0.65,2.72,113.12,394.49,2086,8.49,16650,67.79,5826,23.72
" "," 09東石鄉",81.5821,23,357,9438,26184,13889,12295,56,96,-1.53,18,29,-0.42,2.77,112.96,320.95,2635,10.06,18083,69.06,5466,20.88
" "," 10義竹鄉",79.2925,22,311,7558,19556,10171,9385,40,48,-0.41,8,22,-0.72,2.59,108.38,246.63,1664,8.51,13424,68.64,4468,22.85
" "," 11鹿草鄉",54.3151,15,255,5812,16344,8755,7589,31,50,-1.16,1,22,-1.28,2.81,115.36,300.91,1456,8.91,11149,68.21,3739,22.88
" "," 12水上鄉",69.1198,26,409,17857,50699,26188,24511,190,181,0.18,27,63,-0.71,2.84,106.84,733.49,5028,9.92,38257,75.46,7414,14.62
" "," 13中埔鄉",129.5016,22,375,15953,46119,24019,22100,151,175,-0.52,27,40,-0.28,2.89,108.68,356.13,4907,10.64,34618,75.06,6594,14.30
" "," 14竹崎鄉",162.2256,24,407,11595,36870,19678,17192,61,97,-0.98,12,30,-0.49,3.18,114.46,227.28,3933,10.67,26765,72.59,6172,16.74
" "," 15梅山鄉",119.7571,18,200,6761,20279,10767,9512,31,51,-0.99,11,16,-0.25,3.00,113.19,169.33,2059,10.15,14186,69.95,4034,19.89
" "," 16番路鄉",117.5269,11,115,4306,12058,6522,5536,32,60,-2.32,4,7,-0.25,2.80,117.81,102.60,1294,10.73,8728,72.38,2036,16.89
" "," 17大埔鄉",173.2472,5,49,1946,4662,2428,2234,17,16,0.21,5,2,0.64,2.40,108.68,26.91,595,12.76,3481,74.67,586,12.57
" "," 18阿里山鄉",427.8471,12,78,1955,5755,3055,2700,8,15,-1.22,3,5,-0.35,2.94,113.15,13.45,845,14.68,4178,72.60,732,12.72
"2015M02"
" "," 嘉義縣",1903.6367,357,5347,181337,523835,272846,250989,1013,1253,-0.46,214,415,-0.38,2.89,108.71,275.18,59164,11.29,376013,71.78,88658,16.92
" "," 01太保市",66.8964,18,250,12188,37089,19090,17999,112,72,1.08,14,20,-0.16,3.04,106.06,554.42,5518,14.88,27153,73.21,4418,11.91
" "," 02朴子市",49.5737,27,414,15406,43220,21917,21303,111,116,-0.12,14,29,-0.35,2.81,102.88,871.83,6334,14.66,29812,68.98,7074,16.37
" "," 03布袋鎮",61.7307,23,375,10103,28312,14494,13818,36,74,-1.34,11,28,-0.60,2.80,104.89,458.64,2762,9.76,20400,72.05,5150,18.19
" "," 04大林鎮",64.1663,21,317,11380,32058,16426,15632,53,78,-0.78,9,32,-0.72,2.82,105.08,499.61,3600,11.23,22433,69.98,6025,18.79
" "," 05民雄鄉",85.4969,28,522,24095,71951,36841,35110,176,146,0.42,27,35,-0.11,2.99,104.93,841.56,8917,12.39,53614,74.51,9420,13.09
" "," 06溪口鄉",33.0463,14,205,5412,15302,8174,7128,25,44,-1.24,7,19,-0.78,2.83,114.67,463.05,1422,9.29,10549,68.94,3331,21.77
" "," 07新港鄉",66.0495,23,380,10583,33121,17537,15584,59,80,-0.63,10,26,-0.48,3.13,112.53,501.46,4261,12.86,22729,68.62,6131,18.51
" "," 08六腳鄉",62.2619,25,328,9014,24496,13007,11489,24,72,-1.96,5,23,-0.73,2.72,113.21,393.43,2066,8.43,16593,67.74,5837,23.83
" "," 09東石鄉",81.5821,23,357,9423,26143,13868,12275,31,60,-1.11,15,27,-0.46,2.77,112.98,320.45,2629,10.06,18056,69.07,5458,20.88
" "," 10義竹鄉",79.2925,22,311,7552,19517,10141,9376,20,41,-1.07,6,24,-0.92,2.58,108.16,246.14,1647,8.44,13403,68.67,4467,22.89
" "," 11鹿草鄉",54.3151,15,255,5809,16328,8749,7579,28,30,-0.12,8,22,-0.86,2.81,115.44,300.62,1447,8.86,11149,68.28,3732,22.86
" "," 12水上鄉",69.1198,26,409,17858,50673,26193,24480,116,133,-0.34,21,30,-0.18,2.84,107.00,733.12,5001,9.87,38242,75.47,7430,14.66
" "," 13中埔鄉",129.5016,22,375,15942,46062,23991,22071,83,130,-1.02,21,31,-0.22,2.89,108.70,355.69,4877,10.59,34583,75.08,6602,14.33
" "," 14竹崎鄉",162.2256,24,407,11608,36854,19672,17182,64,70,-0.16,22,32,-0.27,3.17,114.49,227.18,3911,10.61,26761,72.61,6182,16.77
" "," 15梅山鄉",119.7571,18,200,6762,20252,10756,9496,34,49,-0.74,8,20,-0.59,3.00,113.27,169.11,2048,10.11,14166,69.95,4038,19.94
" "," 16番路鄉",117.5269,11,115,4308,12053,6521,5532,24,29,-0.41,8,8,-,2.80,117.88,102.56,1285,10.66,8732,72.45,2036,16.89
" "," 17大埔鄉",173.2472,5,49,1944,4653,2419,2234,5,16,-2.36,4,2,0.43,2.39,108.28,26.86,592,12.72,3467,74.51,594,12.77
" "," 18阿里山鄉",427.8471,12,78,1950,5751,3050,2701,12,13,-0.17,4,7,-0.52,2.95,112.92,13.44,847,14.73,4171,72.53,733,12.75
"2015M03"
" "," 嘉義縣",1903.6367,357,5347,181389,523162,272478,250684,1670,2086,-0.79,301,558,-0.49,2.88,108.69,274.82,58769,11.23,375562,71.79,88831,16.98
" "," 01太保市",66.8964,18,250,12202,37078,19073,18005,151,161,-0.27,22,23,-0.03,3.04,105.93,554.26,5478,14.77,27166,73.27,4434,11.96
" "," 02朴子市",49.5737,27,414,15420,43233,21917,21316,187,160,0.62,30,44,-0.32,2.80,102.82,872.10,6341,14.67,29806,68.94,7086,16.39
" "," 03布袋鎮",61.7307,23,375,10082,28245,14453,13792,59,108,-1.73,17,35,-0.64,2.80,104.79,457.55,2733,9.68,20342,72.02,5170,18.30
" "," 04大林鎮",64.1663,21,317,11395,32012,16408,15604,83,113,-0.94,16,32,-0.50,2.81,105.15,498.89,3571,11.16,22406,69.99,6035,18.85
" "," 05民雄鄉",85.4969,28,522,24125,71968,36838,35130,286,240,0.64,44,73,-0.40,2.98,104.86,841.76,8891,12.35,53640,74.53,9437,13.11
" "," 06溪口鄉",33.0463,14,205,5403,15260,8150,7110,37,58,-1.37,10,31,-1.37,2.82,114.63,461.78,1422,9.32,10517,68.92,3321,21.76
" "," 07新港鄉",66.0495,23,380,10591,33084,17516,15568,90,115,-0.76,16,28,-0.36,3.12,112.51,500.90,4222,12.76,22716,68.66,6146,18.58
" "," 08六腳鄉",62.2619,25,328,9003,24453,12986,11467,65,92,-1.10,16,32,-0.65,2.72,113.25,392.74,2057,8.41,16557,67.71,5839,23.88
" "," 09東石鄉",81.5821,23,357,9411,26029,13810,12219,54,135,-3.11,9,42,-1.26,2.77,113.02,319.05,2572,9.88,17975,69.06,5482,21.06
" "," 10義竹鄉",79.2925,22,311,7540,19478,10123,9355,42,66,-1.23,13,28,-0.77,2.58,108.21,245.65,1642,8.43,13366,68.62,4470,22.95
" "," 11鹿草鄉",54.3151,15,255,5809,16308,8742,7566,47,58,-0.67,5,14,-0.55,2.81,115.54,300.25,1422,8.72,11143,68.33,3743,22.95
" "," 12水上鄉",69.1198,26,409,17866,50627,26152,24475,206,228,-0.43,25,49,-0.47,2.83,106.85,732.45,4990,9.86,38194,75.44,7443,14.70
" "," 13中埔鄉",129.5016,22,375,15946,45989,23957,22032,153,213,-1.30,33,46,-0.28,2.88,108.74,355.12,4833,10.51,34536,75.10,6620,14.39
" "," 14竹崎鄉",162.2256,24,407,11624,36783,19652,17131,107,166,-1.60,17,29,-0.33,3.16,114.72,226.74,3887,10.57,26699,72.59,6197,16.85
" "," 15梅山鄉",119.7571,18,200,6773,20228,10741,9487,47,61,-0.69,12,22,-0.49,2.99,113.22,168.91,2022,10.00,14165,70.03,4041,19.98
" "," 16番路鄉",117.5269,11,115,4305,11998,6497,5501,35,71,-2.99,3,22,-1.58,2.79,118.11,102.09,1264,10.54,8703,72.54,2031,16.93
" "," 17大埔鄉",173.2472,5,49,1943,4634,2410,2224,6,25,-4.09,4,4,-,2.38,108.36,26.75,578,12.47,3459,74.64,597,12.88
" "," 18阿里山鄉",427.8471,12,78,1951,5755,3053,2702,15,16,-0.17,9,4,0.87,2.95,112.99,13.45,844,14.67,4172,72.49,739,12.84
"2015M04"
" "," 嘉義縣",1903.6367,357,5347,181497,522587,272177,250410,1455,1809,-0.68,219,440,-0.42,2.88,108.69,274.52,58347,11.16,375224,71.80,89016,17.03
" "," 01太保市",66.8964,18,250,12218,37085,19090,17995,138,136,0.05,22,17,0.13,3.04,106.08,554.36,5459,14.72,27175,73.28,4451,12.00
" "," 02朴子市",49.5737,27,414,15434,43233,21896,21337,182,163,0.44,20,39,-0.44,2.80,102.62,872.10,6358,14.71,29802,68.93,7073,16.36
" "," 03布袋鎮",61.7307,23,375,10078,28180,14409,13771,53,96,-1.52,10,32,-0.78,2.80,104.63,456.50,2706,9.60,20308,72.07,5166,18.33
" "," 04大林鎮",64.1663,21,317,11402,32017,16404,15613,106,74,1.00,6,33,-0.84,2.81,105.07,498.97,3558,11.11,22408,69.99,6051,18.90
" "," 05民雄鄉",85.4969,28,522,24167,71940,36850,35090,214,226,-0.17,27,43,-0.22,2.98,105.02,841.43,8859,12.31,53624,74.54,9457,13.15
" "," 06溪口鄉",33.0463,14,205,5409,15250,8144,7106,43,49,-0.39,7,11,-0.26,2.82,114.61,461.47,1407,9.23,10518,68.97,3325,21.80
" "," 07新港鄉",66.0495,23,380,10597,33044,17489,15555,53,87,-1.03,15,21,-0.18,3.12,112.43,500.29,4187,12.67,22703,68.71,6154,18.62
" "," 08六腳鄉",62.2619,25,328,8999,24411,12966,11445,69,92,-0.94,9,28,-0.78,2.71,113.29,392.07,2028,8.31,16535,67.74,5848,23.96
" "," 09東石鄉",81.5821,23,357,9405,25946,13767,12179,55,125,-2.69,15,28,-0.50,2.76,113.04,318.04,2524,9.73,17920,69.07,5502,21.21
" "," 10義竹鄉",79.2925,22,311,7535,19442,10100,9342,37,54,-0.87,3,22,-0.98,2.58,108.11,245.19,1615,8.31,13349,68.66,4478,23.03
" "," 11鹿草鄉",54.3151,15,255,5809,16277,8730,7547,28,51,-1.41,5,13,-0.49,2.80,115.68,299.68,1401,8.61,11126,68.35,3750,23.04
" "," 12水上鄉",69.1198,26,409,17872,50568,26134,24434,163,200,-0.73,23,45,-0.43,2.83,106.96,731.60,4937,9.76,38178,75.50,7453,14.74
" "," 13中埔鄉",129.5016,22,375,15958,45938,23932,22006,137,177,-0.87,24,35,-0.24,2.88,108.75,354.73,4813,10.48,34483,75.06,6642,14.46
" "," 14竹崎鄉",162.2256,24,407,11638,36738,19630,17108,75,110,-0.95,22,32,-0.27,3.16,114.74,226.46,3853,10.49,26665,72.58,6220,16.93
" "," 15梅山鄉",119.7571,18,200,6770,20187,10710,9477,39,66,-1.34,5,19,-0.69,2.98,113.01,168.57,2004,9.93,14125,69.97,4058,20.10
" "," 16番路鄉",117.5269,11,115,4309,11966,6477,5489,37,59,-1.84,3,13,-0.83,2.78,118.00,101.82,1241,10.37,8680,72.54,2045,17.09
" "," 17大埔鄉",173.2472,5,49,1942,4619,2404,2215,13,27,-3.03,3,4,-0.22,2.38,108.53,26.66,564,12.21,3454,74.78,601,13.01
" "," 18阿里山鄉",427.8471,12,78,1955,5746,3045,2701,13,17,-0.70,-,5,-0.87,2.94,112.74,13.43,833,14.50,4171,72.59,742,12.91
"2015M05"
" "," 嘉義縣",1903.6367,357,5347,181578,522065,271907,250158,1373,1686,-0.60,219,428,-0.40,2.88,108.69,274.25,57985,11.11,375093,71.85,88987,17.05
" "," 01太保市",66.8964,18,250,12225,37081,19090,17991,129,131,-0.05,22,24,-0.05,3.03,106.11,554.30,5425,14.63,27202,73.36,4454,12.01
" "," 02朴子市",49.5737,27,414,15445,43192,21874,21318,141,164,-0.53,17,35,-0.42,2.80,102.61,871.27,6327,14.65,29810,69.02,7055,16.33
" "," 03布袋鎮",61.7307,23,375,10068,28113,14376,13737,29,78,-1.74,7,25,-0.64,2.79,104.65,455.41,2664,9.48,20286,72.16,5163,18.37
" "," 04大林鎮",64.1663,21,317,11404,31962,16379,15583,59,95,-1.13,11,30,-0.59,2.80,105.11,498.11,3525,11.03,22383,70.03,6054,18.94
" "," 05民雄鄉",85.4969,28,522,24196,71912,36831,35081,219,246,-0.38,45,46,-0.01,2.97,104.99,841.11,8826,12.27,53625,74.57,9461,13.16
" "," 06溪口鄉",33.0463,14,205,5410,15219,8136,7083,32,51,-1.25,6,18,-0.79,2.81,114.87,460.54,1396,9.17,10497,68.97,3326,21.85
" "," 07新港鄉",66.0495,23,380,10604,33018,17466,15552,81,86,-0.15,8,29,-0.64,3.11,112.31,499.90,4170,12.63,22699,68.75,6149,18.62
" "," 08六腳鄉",62.2619,25,328,8997,24376,12955,11421,53,66,-0.53,11,33,-0.90,2.71,113.43,391.51,2016,8.27,16522,67.78,5838,23.95
" "," 09東石鄉",81.5821,23,357,9397,25901,13736,12165,49,79,-1.16,9,24,-0.58,2.76,112.91,317.48,2497,9.64,17916,69.17,5488,21.19
" "," 10義竹鄉",79.2925,22,311,7531,19391,10080,9311,36,70,-1.75,7,24,-0.88,2.57,108.26,244.55,1592,8.21,13330,68.74,4469,23.05
" "," 11鹿草鄉",54.3151,15,255,5807,16250,8717,7533,33,49,-0.98,5,16,-0.68,2.80,115.72,299.18,1393,8.57,11112,68.38,3745,23.05
" "," 12水上鄉",69.1198,26,409,17884,50567,26138,24429,182,166,0.32,16,33,-0.34,2.83,107.00,731.58,4910,9.71,38202,75.55,7455,14.74
" "," 13中埔鄉",129.5016,22,375,15974,45886,23909,21977,119,162,-0.94,24,33,-0.20,2.87,108.79,354.33,4796,10.45,34447,75.07,6643,14.48
" "," 14竹崎鄉",162.2256,24,407,11650,36725,19610,17115,97,94,0.08,8,24,-0.44,3.15,114.58,226.38,3835,10.44,26658,72.59,6232,16.97
" "," 15梅山鄉",119.7571,18,200,6769,20166,10698,9468,38,53,-0.74,10,16,-0.30,2.98,112.99,168.39,1994,9.89,14117,70.00,4055,20.11
" "," 16番路鄉",117.5269,11,115,4321,11956,6466,5490,48,54,-0.50,5,9,-0.33,2.77,117.78,101.73,1226,10.25,8676,72.57,2054,17.18
" "," 17大埔鄉",173.2472,5,49,1941,4614,2403,2211,21,25,-0.87,3,4,-0.22,2.38,108.68,26.63,565,12.25,3448,74.73,601,13.03
" "," 18阿里山鄉",427.8471,12,78,1955,5736,3043,2693,7,17,-1.74,5,5,-,2.93,113.00,13.41,828,14.44,4163,72.58,745,12.99
"2015M06"
" "," 嘉義縣",1903.6367,357,5347,181653,521591,271681,249910,1408,1614,-0.39,225,493,-0.51,2.87,108.71,274.00,57638,11.05,375069,71.91,88884,17.04
" "," 01太保市",66.8964,18,250,12258,37036,19064,17972,94,128,-0.92,15,26,-0.30,3.02,106.08,553.63,5368,14.49,27221,73.50,4447,12.01
" "," 02朴子市",49.5737,27,414,15461,43175,21859,21316,158,161,-0.07,23,37,-0.32,2.79,102.55,870.93,6301,14.59,29833,69.10,7041,16.31
" "," 03布袋鎮",61.7307,23,375,10068,28079,14360,13719,67,83,-0.57,9,27,-0.64,2.79,104.67,454.86,2628,9.36,20300,72.30,5151,18.34
