"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"95","新化區","20","253","14203","43782","22385","21397","103.12","臺南市"
"96","善化區","21","352","16290","46100","23307","22793","103.12","臺南市"
"97","新市區","11","262","11516","35482","17816","17666","103.12","臺南市"
"98","安定區","16","255","9763","30298","15552","14746","103.12","臺南市"
"99","山上區","7","84","2688","7500","3922","3578","103.12","臺南市"
"100","玉井區","10","175","5120","14561","7582","6979","103.12","臺南市"
"101","楠西區","7","123","3538","10116","5356","4760","103.12","臺南市"
"102","南化區","9","113","2863","9001","4878","4123","103.12","臺南市"
"103","左鎮區","10","110","1998","5181","2890","2291","103.12","臺南市"
"104","仁德區","18","493","26526","73099","37205","35894","103.12","臺南市"
"105","歸仁區","21","630","21963","67504","34300","33204","103.12","臺南市"
"106","關廟區","17","280","10889","34865","18024","16841","103.12","臺南市"
"107","龍崎區","8","95","1573","4292","2326","1966","103.12","臺南市"
"108","永康區","39","1267","81040","228651","113016","115635","103.12","臺南市"
"109","東區","45","1239","71870","190233","91546","98687","103.12","臺南市"
"110","南區","39","831","44706","125691","62488","63203","103.12","臺南市"
"111","北區","43","850","49711","132558","64876","67682","103.12","臺南市"
"112","安南區","51","943","60102","187775","95005","92770","103.12","臺南市"
"113","安平區","15","360","24546","64898","30906","33992","103.12","臺南市"
"114","中西區","38","745","30783","77910","37977","39933","103.12","臺南市"
"115","臺南市","752","14715","663131","1883208","944555","938653","102.12","臺南市"
"116","新營區","29","636","28243","78521","38966","39555","102.12","臺南市"
"117","鹽水區","25","326","10033","26426","13778","12648","102.12","臺南市"
"118","白河區","24","293","10987","30178","15815","14363","102.12","臺南市"
"119","柳營區","13","261","7808","21932","11434","10498","102.12","臺南市"
"120","後壁區","21","268","8938","24910","12971","11939","102.12","臺南市"
"121","東山區","16","311","8292","22195","11773","10422","102.12","臺南市"
"122","麻豆區","29","392","15424","45230","23011","22219","102.12","臺南市"
"123","下營區","15","271","9118","25333","13048","12285","102.12","臺南市"
"124","六甲區","12","231","7748","23151","11988","11163","102.12","臺南市"
"125","官田區","13","257","7754","21823","11162","10661","102.12","臺南市"
"126","大內區","10","145","4019","10408","5546","4862","102.12","臺南市"
"127","佳里區","21","409","20012","59372","29471","29901","102.12","臺南市"
"128","學甲區","13","330","9658","27167","13905","13262","102.12","臺南市"
"129","西港區","12","241","7948","24914","12639","12275","102.12","臺南市"
"130","七股區","23","315","8120","23871","12452","11419","102.12","臺南市"
"131","將軍區","18","304","7378","20808","10594","10214","102.12","臺南市"
"132","北門區","13","206","4397","11876","5989","5887","102.12","臺南市"
"133","新化區","20","253","14069","43836","22448","21388","102.12","臺南市"
"134","善化區","21","352","15716","45167","22789","22378","102.12","臺南市"
"135","新市區","11","263","11378","35336","17775","17561","102.12","臺南市"
"136","安定區","16","255","9653","30215","15589","14626","102.12","臺南市"
"137","山上區","7","85","2713","7570","3966","3604","102.12","臺南市"
"138","玉井區","10","175","5135","14821","7729","7092","102.12","臺南市"
