"","區域名","土地面積","里數","鄰數","戶數","每戶平均人口","人口數","男","女","性別比","人口密度","年月"
"246","北門區","44.1003","13","206","4382","2.84527612962118","12468","6351","6117","103.825404610103","282.719165175747","99.12"
"247","新化區","62.0579","20","253","13683","3.22268508368048","44096","22590","21506","105.040453826839","710.56223301143","99.12"
"248","善化區","55.3097","21","360","14562","2.98564757588243","43477","22002","21475","102.454016298021","786.064650504342","99.12"
"249","新市區","47.8096","11","263","10729","3.23795321092366","34740","17483","17257","101.309613490178","726.632308155684","99.12"
"250","安定區","31.27","16","255","9306","3.24865678057167","30232","15667","14565","107.566083075867","966.805244643428","99.12"
"251","山上區","27.878","7","85","2711","2.90077462191073","7864","4130","3734","110.605249062667","282.086232871799","99.12"
"252","玉井區","76.3662","10","175","5078","3.03525009846396","15413","7990","7423","107.638421123535","201.830129036144","99.12"
"253","楠西區","109.6316","7","124","3578","2.98015651201789","10663","5646","5017","112.537372932031","97.2621032621981","99.12"
"254","南化區","171.5198","9","113","2828","3.15594059405941","8925","4880","4045","120.642768850433","52.0348088092453","99.12"
"255","左鎮區","74.9025","10","110","1984","2.76814516129032","5492","3041","2451","124.071807425541","73.3219852474884","99.12"
"256","仁德區","50.7664","18","497","24715","2.80570503742666","69343","35637","33706","105.728950335252","1365.92313025938","99.12"
"257","歸仁區","55.7913","21","630","20510","3.20911750365675","65819","33616","32203","104.387789957457","1179.73590864525","99.12"
"258","關廟區","53.6413","17","280","10721","3.3603208655909","36026","18690","17336","107.810336871251","671.609375611702","99.12"
"259","龍崎區","64.0814","8","95","1601","2.737039350406","4382","2366","2016","117.361111111111","68.3817769274704","99.12"
"260","永康區","40.2753","39","1288","74942","2.89220997571455","216748","107783","108965","98.9152480154178","5381.66072009395","99.12"
"261","東區","13.4156","45","1240","70835","2.74134255664573","194183","93968","100215","93.7664022351943","14474.4178419154","99.12"
"262","南區","27.2681","39","845","43344","2.9109680693983","126173","63286","62887","100.63447135338","4627.12840278567","99.12"
"263","北區","10.434","43","855","48178","2.73828303374984","131925","65088","66837","97.3831859598725","12643.7607820587","99.12"
"264","安南區","107.2016","51","944","54525","3.26674002751032","178119","90593","87526","103.50410163837","1661.53303682035","99.12"
"265","安平區","11.0663","15","366","23180","2.7006902502157","62602","29986","32616","91.9364728967378","5656.99465946161","99.12"
"266","中西區","6.26","38","752","30184","2.6262589451365","79271","38982","40289","96.7559383454541","12663.0990415335","99.12"
