"","區域名","土地面積","里數","鄰數","戶數","每戶平均人口","人口數","男","女","性別比","人口密度","年月"
"49","官田區","70.7953","13","256","7854","2.76101349630761","21685","11096","10589","104.787987534234","306.305644583751","104.12"
"50","大內區","70.3125","10","145","3907","2.57332992065523","10054","5393","4661","115.704784381034","142.990222222222","104.12"
"51","佳里區","38.9422","21","409","20403","2.91893349017301","59555","29542","30013","98.4306800386499","1529.31780947147","104.12"
"52","學甲區","53.9919","13","323","9665","2.75757889291257","26652","13645","13007","104.905051126317","493.629599995555","104.12"
"53","西港區","33.7666","12","241","8115","3.07097966728281","24921","12617","12304","102.54388816645","738.036995137207","104.12"
"54","七股區","110.1492","23","312","8069","2.89565001858966","23365","12128","11237","107.929162587879","212.12137718658","104.12"
"55","將軍區","41.9796","18","304","7311","2.77786896457393","20309","10343","9966","103.782861729882","483.782599167215","104.12"
"56","北門區","44.1003","13","206","4319","2.66890483908312","11527","5823","5704","102.086255259467","261.381441849602","104.12"
"57","新化區","62.0579","20","253","14294","3.0661816146635","43828","22366","21462","104.212095797223","706.243685332568","104.12"
"58","善化區","55.3097","21","350","16803","2.7931321787776","46933","23695","23238","101.966606420518","848.549169494682","104.12"
"59","新市區","47.8096","11","262","11746","3.05235824961689","35853","18018","17835","101.026072329689","749.91215153442","104.12"
"60","安定區","31.27","16","255","9876","3.07118266504658","30331","15560","14771","105.341547627107","969.971218420211","104.12"
"61","山上區","27.878","7","84","2678","2.77707244212099","7437","3889","3548","109.611048478016","266.76949565966","104.12"
"62","玉井區","76.3662","10","175","5110","2.81565557729941","14388","7472","6916","108.039329091961","188.407960589894","104.12"
"63","楠西區","109.6316","7","123","3538","2.83550028264556","10032","5318","4714","112.812897751379","91.5064634649134","104.12"
"64","南化區","171.5198","9","113","2859","3.11052815669815","8893","4810","4083","117.805535145726","51.8482414275203","104.12"
"65","左鎮區","74.9025","10","110","1990","2.54824120603015","5071","2841","2230","127.399103139013","67.7013450819398","104.12"
"66","仁德區","50.7664","18","492","26859","2.75092147883391","73887","37590","36297","103.562277874204","1455.43115131268","104.12"
"67","歸仁區","55.7913","21","630","22252","3.05168074779795","67906","34503","33403","103.293117384666","1217.14317465268","104.12"
"68","關廟區","53.6413","17","280","10974","3.16375068343357","34719","17939","16780","106.907032181168","647.243821458466","104.12"
"69","龍崎區","64.0814","8","95","1567","2.67772814294831","4196","2271","1925","117.974025974026","65.4792186188192","104.12"
"70","永康區","40.2753","39","1266","81796","2.82172722382513","230806","113945","116861","97.5047278390567","5730.70839944085","104.12"
"71","東區","13.4156","45","1239","71744","2.63248494647636","188865","90780","98085","92.5523780394556","14078.0136557441","104.12"
"72","南區","27.2681","39","831","44941","2.79784606484057","125738","62473","63265","98.7481229747886","4611.17569614311","104.12"
"73","北區","10.434","43","850","49896","2.65854978354978","132651","64782","67869","95.4515316271052","12713.341000575","104.12"
"74","安南區","107.2016","51","943","61064","3.10526660552863","189620","95852","93768","102.222506612064","1768.8168833301","104.12"
