"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"81","桃源區","8","39","1360","4801","2548","2253","100.2","高雄市"
"82","那瑪夏區","3","20","880","3368","1747","1621","100.2","高雄市"
"83","高雄市","893","17785","1025181","2772834","1389882","1382952","100.3","高雄市"
"84","鹽埕區","21","237","11164","27343","13707","13636","100.3","高雄市"
"85","鼓山區","38","722","52386","131768","64574","67194","100.3","高雄市"
"86","左營區","40","747","74030","192216","94544","97672","100.3","高雄市"
"87","楠梓區","37","803","62039","173221","85905","87316","100.3","高雄市"
"88","三民一","41","670","33312","86277","43091","43186","100.3","高雄市"
"89","三民二","45","1074","98439","266820","129612","137208","100.3","高雄市"
"90","新興區","32","459","22895","55017","26747","28270","100.3","高雄市"
"91","前金區","20","264","12540","28719","13963","14756","100.3","高雄市"
"92","苓雅區","69","1248","71848","183244","89184","94060","100.3","高雄市"
"93","前鎮區","59","1298","76610","198726","98620","100106","100.3","高雄市"
"94","旗津區","13","213","10983","29915","15545","14370","100.3","高雄市"
"95","小港區","38","697","63413","154458","77596","76862","100.3","高雄市"
"96","鳳山一","43","1145","65755","175377","86860","88517","100.3","高雄市"
"97","鳳山二","35","992","61765","166873","83582","83291","100.3","高雄市"
"98","林園區","24","525","24162","70430","36135","34295","100.3","高雄市"
"99","大寮區","25","829","38462","109108","56661","52447","100.3","高雄市"
"100","大樹區","18","376","13080","43899","22699","21200","100.3","高雄市"
"101","大社區","9","175","11741","33091","16984","16107","100.3","高雄市"
"102","仁武區","16","392","26241","72962","37605","35357","100.3","高雄市"
"103","鳥松區","7","192","16642","42797","21736","21061","100.3","高雄市"
"104","岡山區","33","540","33276","97120","48755","48365","100.3","高雄市"
"105","橋頭區","17","359","12676","36551","18739","17812","100.3","高雄市"
"106","燕巢區","11","289","10014","30830","16429","14401","100.3","高雄市"
"107","田寮區","10","154","3545","8143","4534","3609","100.3","高雄市"
"108","阿蓮區","12","276","9169","30357","15297","15060","100.3","高雄市"
"109","路竹區","20","395","16083","53702","27375","26327","100.3","高雄市"
"110","湖內區","14","260","9593","28795","14821","13974","100.3","高雄市"
"111","茄萣區","15","341","10147","31359","16350","15009","100.3","高雄市"
"112","永安區","6","81","5845","14247","7239","7008","100.3","高雄市"
"113","彌陀區","12","227","6636","20382","10596","9786","100.3","高雄市"
"114","梓官區","15","286","12086","36695","19056","17639","100.3","高雄市"
"115","旗山區","21","382","13853","39847","20776","19071","100.3","高雄市"
"116","美濃區","19","389","14194","42869","22382","20487","100.3","高雄市"
"117","六龜區","12","222","5767","14698","7955","6743","100.3","高雄市"
"118","甲仙區","7","103","2511","7165","3845","3320","100.3","高雄市"
"119","杉林區","7","138","4433","11909","6500","5409","100.3","高雄市"
"120","內門區","18","207","5026","15866","8651","7215","100.3","高雄市"
"121","茂林區","3","19","575","1859","934","925","100.3","高雄市"
"122","桃源區","8","39","1363","4808","2556","2252","100.3","高雄市"
"123","那瑪夏區","3","20","882","3371","1742","1629","100.3","高雄市"
"124","高雄市","893","17785","1026340","2772981","1389663","1383318","100.4","高雄市"
"125","鹽埕區","21","237","11172","27291","13668","13623","100.4","高雄市"
"126","鼓山區","38","722","52459","131736","64508","67228","100.4","高雄市"
"127","左營區","40","747","74161","192323","94571","97752","100.4","高雄市"
"128","楠梓區","37","803","62081","173288","85948","87340","100.4","高雄市"
"129","三民一","41","670","33306","86195","43057","43138","100.4","高雄市"
"130","三民二","45","1074","98583","266874","129586","137288","100.4","高雄市"
"131","新興區","32","459","22880","54984","26727","28257","100.4","高雄市"
"132","前金區","20","264","12545","28702","13947","14755","100.4","高雄市"
"133","苓雅區","69","1248","71871","183097","89109","93988","100.4","高雄市"
"134","前鎮區","59","1298","76668","198621","98540","100081","100.4","高雄市"
"135","旗津區","13","213","10991","29887","15540","14347","100.4","高雄市"
"136","小港區","38","697","63470","154404","77562","76842","100.4","高雄市"
"137","鳳山一","43","1145","65834","175577","86900","88677","100.4","高雄市"
"138","鳳山二","35","992","61872","167224","83701","83523","100.4","高雄市"
"139","林園區","24","525","24173","70401","36121","34280","100.4","高雄市"
"140","大寮區","25","829","38511","109066","56645","52421","100.4","高雄市"
"141","大樹區","18","376","13085","43864","22672","21192","100.4","高雄市"
"142","大社區","9","175","11770","33091","16991","16100","100.4","高雄市"
"143","仁武區","16","392","26351","73175","37716","35459","100.4","高雄市"
"144","鳥松區","7","192","16682","42791","21726","21065","100.4","高雄市"
"145","岡山區","33","540","33323","97183","48798","48385","100.4","高雄市"
"146","橋頭區","17","359","12714","36645","18769","17876","100.4","高雄市"
"147","燕巢區","11","289","10034","30837","16442","14395","100.4","高雄市"
"148","田寮區","10","154","3543","8129","4527","3602","100.4","高雄市"
"149","阿蓮區","12","276","9185","30331","15290","15041","100.4","高雄市"
"150","路竹區","20","395","16101","53696","27362","26334","100.4","高雄市"
"151","湖內區","14","260","9609","28785","14814","13971","100.4","高雄市"
"152","茄萣區","15","341","10148","31309","16320","14989","100.4","高雄市"
"153","永安區","6","81","5846","14223","7237","6986","100.4","高雄市"
"154","彌陀區","12","227","6639","20356","10576","9780","100.4","高雄市"
"155","梓官區","15","286","12103","36652","19046","17606","100.4","高雄市"
"156","旗山區","21","382","13857","39823","20750","19073","100.4","高雄市"
"157","美濃區","19","389","14203","42831","22360","20471","100.4","高雄市"
"158","六龜區","12","222","5769","14653","7929","6724","100.4","高雄市"
"159","甲仙區","7","103","2507","7140","3830","3310","100.4","高雄市"
"160","杉林區","7","138","4442","11930","6510","5420","100.4","高雄市"
"161","內門區","18","207","5031","15842","8642","7200","100.4","高雄市"
"162","茂林區","3","19","577","1853","930","923","100.4","高雄市"
"163","桃源區","8","39","1361","4810","2558","2252","100.4","高雄市"
"164","那瑪夏區","3","20","883","3362","1738","1624","100.4","高雄市"
"165","高雄市","893","17785","1027870","2772850","1389423","1383427","100.5","高雄市"
"166","鹽埕區","21","237","11168","27249","13646","13603","100.5","高雄市"
"167","鼓山區","38","722","52566","131844","64548","67296","100.5","高雄市"
"168","左營區","40","747","74330","192466","94602","97864","100.5","高雄市"
"169","楠梓區","37","803","62201","173463","86015","87448","100.5","高雄市"
"170","三民一","41","670","33287","85993","42957","43036","100.5","高雄市"
"171","三民二","45","1074","98717","266840","129584","137256","100.5","高雄市"
"172","新興區","32","459","22872","54880","26681","28199","100.5","高雄市"
"173","前金區","20","264","12539","28657","13925","14732","100.5","高雄市"
"174","苓雅區","69","1248","71878","182840","88952","93888","100.5","高雄市"
"175","前鎮區","59","1298","76693","198453","98463","99990","100.5","高雄市"
"176","旗津區","13","213","10983","29844","15518","14326","100.5","高雄市"
"177","小港區","38","697","63621","154511","77606","76905","100.5","高雄市"
"178","鳳山一","43","1145","66025","175677","86905","88772","100.5","高雄市"
"179","鳳山二","35","992","61993","167319","83714","83605","100.5","高雄市"
"180","林園區","24","525","24195","70378","36102","34276","100.5","高雄市"
"181","大寮區","25","829","38588","109072","56661","52411","100.5","高雄市"
"182","大樹區","18","376","13096","43823","22656","21167","100.5","高雄市"
"183","大社區","9","175","11798","33129","17019","16110","100.5","高雄市"
"184","仁武區","16","392","26461","73393","37831","35562","100.5","高雄市"
"185","鳥松區","7","192","16725","42910","21765","21145","100.5","高雄市"
"186","岡山區","33","540","33348","97148","48752","48396","100.5","高雄市"
"187","橋頭區","17","359","12773","36661","18769","17892","100.5","高雄市"
"188","燕巢區","11","289","10060","30841","16457","14384","100.5","高雄市"
"189","田寮區","10","154","3535","8113","4516","3597","100.5","高雄市"
"190","阿蓮區","12","276","9199","30308","15293","15015","100.5","高雄市"
"191","路竹區","20","395","16124","53681","27344","26337","100.5","高雄市"
"192","湖內區","14","260","9627","28795","14830","13965","100.5","高雄市"
"193","茄萣區","15","341","10158","31267","16296","14971","100.5","高雄市"
"194","永安區","6","81","5845","14221","7238","6983","100.5","高雄市"
"195","彌陀區","12","227","6657","20316","10553","9763","100.5","高雄市"
"196","梓官區","15","286","12133","36656","19043","17613","100.5","高雄市"
"197","旗山區","21","382","13859","39808","20726","19082","100.5","高雄市"
"198","美濃區","19","389","14223","42811","22352","20459","100.5","高雄市"
"199","六龜區","12","222","5774","14644","7932","6712","100.5","高雄市"
"200","甲仙區","7","103","2509","7118","3821","3297","100.5","高雄市"
"201","杉林區","7","138","4452","11925","6516","5409","100.5","高雄市"
"202","內門區","18","207","5034","15804","8628","7176","100.5","高雄市"
"203","茂林區","3","19","575","1847","926","921","100.5","高雄市"
"204","桃源區","8","39","1365","4787","2541","2246","100.5","高雄市"
"205","那瑪夏區","3","20","884","3358","1740","1618","100.5","高雄市"
"206","高雄市","893","17785","1029122","2772461","1388972","1383489","100.6","高雄市"
"207","鹽埕區","21","237","11142","27125","13588","13537","100.6","高雄市"
"208","鼓山區","38","722","52648","131966","64556","67410","100.6","高雄市"
"209","左營區","40","747","74451","192678","94687","97991","100.6","高雄市"
"210","楠梓區","37","803","62247","173457","85997","87460","100.6","高雄市"
"211","三民一","41","670","33300","85898","42879","43019","100.6","高雄市"
"212","三民二","45","1074","98861","266831","129552","137279","100.6","高雄市"
"213","新興區","32","459","22861","54816","26639","28177","100.6","高雄市"
"214","前金區","20","264","12532","28584","13880","14704","100.6","高雄市"
"215","苓雅區","69","1248","71902","182658","88834","93824","100.6","高雄市"
"216","前鎮區","59","1298","76749","198206","98365","99841","100.6","高雄市"
"217","旗津區","13","213","10987","29821","15498","14323","100.6","高雄市"
"218","小港區","38","697","63808","154629","77634","76995","100.6","高雄市"
"219","鳳山一","43","1145","66175","175804","86952","88852","100.6","高雄市"
"220","鳳山二","35","992","62089","167525","83825","83700","100.6","高雄市"
"221","林園區","24","525","24241","70283","36037","34246","100.6","高雄市"
"222","大寮區","25","829","38652","109024","56626","52398","100.6","高雄市"
"223","大樹區","18","376","13097","43771","22625","21146","100.6","高雄市"
"224","大社區","9","175","11811","33140","17029","16111","100.6","高雄市"
"225","仁武區","16","392","26573","73686","37982","35704","100.6","高雄市"
"226","鳥松區","7","192","16751","42946","21782","21164","100.6","高雄市"
"227","岡山區","33","540","33397","97097","48713","48384","100.6","高雄市"
"228","橋頭區","17","359","12810","36726","18795","17931","100.6","高雄市"
"229","燕巢區","11","289","10066","30858","16473","14385","100.6","高雄市"
"230","田寮區","10","154","3531","8097","4504","3593","100.6","高雄市"
"231","阿蓮區","12","276","9197","30279","15277","15002","100.6","高雄市"
"232","路竹區","20","395","16139","53619","27323","26296","100.6","高雄市"
"233","湖內區","14","260","9639","28758","14812","13946","100.6","高雄市"
