"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"80"," 布袋鎮","23","375","9696","32480","16975","15505","93.12","嘉義縣"
"81"," 大林鎮","21","317","10777","35309","18380","16929","93.12","嘉義縣"
"82"," 民雄鄉","28","498","20651","72451","37494","34957","93.12","嘉義縣"
"83"," 溪口鄉","14","205","5073","17273","9246","8027","93.12","嘉義縣"
"84"," 新港鄉","23","380","9778","35815","19041","16774","93.12","嘉義縣"
"85"," 六腳鄉","25","328","8687","27939","14898","13041","93.12","嘉義縣"
"86"," 東石鄉","23","353","8709","29399","15740","13659","93.12","嘉義縣"
"87"," 義竹鄉","22","311","7034","22303","11669","10634","93.12","嘉義縣"
"88"," 鹿草鄉","15","255","5408","17727","9550","8177","93.12","嘉義縣"
"89"," 水上鄉","26","409","17045","55276","28905","26371","93.12","嘉義縣"
"90"," 中埔鄉","22","375","13731","48157","25368","22789","93.12","嘉義縣"
"91"," 竹崎鄉","24","407","10769","40576","21720","18856","93.12","嘉義縣"
"92"," 梅山鄉","18","200","6051","22874","12188","10686","93.12","嘉義縣"
"93"," 番路鄉","11","112","3633","11958","6542","5416","93.12","嘉義縣"
"94"," 大埔鄉","5","49","1430","3524","2000","1524","93.12","嘉義縣"
"95"," 阿里山鄉","12","78","1937","6188","3364","2824","93.12","嘉義縣"
"96"," 嘉義縣","357","5304","164911","557101","292919","264182","94.12","嘉義縣"
"97"," 太保市","18","245","9771","35066","18293","16773","94.12","嘉義縣"
"98"," 朴子市","27","403","13218","44463","22867","21596","94.12","嘉義縣"
"99"," 布袋鎮","23","375","9815","32274","16798","15476","94.12","嘉義縣"
"100"," 大林鎮","21","317","10774","34938","18139","16799","94.12","嘉義縣"
"101"," 民雄鄉","28","498","20984","72556","37478","35078","94.12","嘉義縣"
"102"," 溪口鄉","14","205","5126","17371","9262","8109","94.12","嘉義縣"
"103"," 新港鄉","23","380","9876","35724","18969","16755","94.12","嘉義縣"
"104"," 六腳鄉","25","328","8764","27787","14793","12994","94.12","嘉義縣"
"105"," 東石鄉","23","357","8952","29374","15694","13680","94.12","嘉義縣"
"106"," 義竹鄉","22","311","7119","22407","11686","10721","94.12","嘉義縣"
"107"," 鹿草鄉","15","255","5454","17661","9521","8140","94.12","嘉義縣"
"108"," 水上鄉","26","409","16936","54533","28524","26009","94.12","嘉義縣"
"109"," 中埔鄉","22","375","13959","48069","25298","22771","94.12","嘉義縣"
"110"," 竹崎鄉","24","407","10876","40130","21487","18643","94.12","嘉義縣"
"111"," 梅山鄉","18","200","6166","22778","12110","10668","94.12","嘉義縣"
"112"," 番路鄉","11","112","3673","12051","6575","5476","94.12","嘉義縣"
"113"," 大埔鄉","5","49","1509","3733","2076","1657","94.12","嘉義縣"
"114"," 阿里山鄉","12","78","1939","6186","3349","2837","94.12","嘉義縣"
"115"," 嘉義縣","357","5311","166879","553841","290855","262986","95.12","嘉義縣"
"116"," 太保市","18","245","10060","35180","18340","16840","95.12","嘉義縣"
"117"," 朴子市","27","403","13401","44329","22794","21535","95.12","嘉義縣"
"118"," 布袋鎮","23","375","9809","31667","16452","15215","95.12","嘉義縣"
"119"," 大林鎮","21","317","10814","34666","17934","16732","95.12","嘉義縣"
"120"," 民雄鄉","28","505","21278","72836","37668","35168","95.12","嘉義縣"
"121"," 溪口鄉","14","205","5159","17051","9110","7941","95.12","嘉義縣"
"122"," 新港鄉","23","380","9970","35488","18797","16691","95.12","嘉義縣"
"123"," 六腳鄉","25","328","8849","27645","14696","12949","95.12","嘉義縣"
"124"," 東石鄉","23","357","9023","28978","15488","13490","95.12","嘉義縣"
"125"," 義竹鄉","22","311","7166","22020","11489","10531","95.12","嘉義縣"
"126"," 鹿草鄉","15","255","5488","17529","9418","8111","95.12","嘉義縣"
"127"," 水上鄉","26","409","17026","54061","28231","25830","95.12","嘉義縣"
"128"," 中埔鄉","22","375","14263","48219","25300","22919","95.12","嘉義縣"
"129"," 竹崎鄉","24","407","10977","39721","21210","18511","95.12","嘉義縣"
"130"," 梅山鄉","18","200","6251","22515","11984","10531","95.12","嘉義縣"
"131"," 番路鄉","11","112","3694","11885","6504","5381","95.12","嘉義縣"
"132"," 大埔鄉","5","49","1728","3900","2126","1774","95.12","嘉義縣"
"133"," 阿里山鄉","12","78","1923","6151","3314","2837","95.12","嘉義縣"
"134"," 嘉義縣","357","5319","168916","551345","289202","262143","96.12","嘉義縣"
"135"," 太保市","18","250","10413","35669","18560","17109","96.12","嘉義縣"
"136"," 朴子市","27","403","13568","44222","22748","21474","96.12","嘉義縣"
"137"," 布袋鎮","23","375","9899","31372","16248","15124","96.12","嘉義縣"
"138"," 大林鎮","21","317","10853","34382","17783","16599","96.12","嘉義縣"
"139"," 民雄鄉","28","508","21598","72762","37574","35188","96.12","嘉義縣"
"140"," 溪口鄉","14","205","5185","16812","8989","7823","96.12","嘉義縣"
"141"," 新港鄉","23","380","10048","35363","18680","16683","96.12","嘉義縣"
"142"," 六腳鄉","25","328","8911","27327","14520","12807","96.12","嘉義縣"
"143"," 東石鄉","23","357","9115","28761","15340","13421","96.12","嘉義縣"
"144"," 義竹鄉","22","311","7258","21880","11403","10477","96.12","嘉義縣"
"145"," 鹿草鄉","15","255","5528","17512","9397","8115","96.12","嘉義縣"
"146"," 水上鄉","26","409","17079","53498","27889","25609","96.12","嘉義縣"
"147"," 中埔鄉","22","375","14519","48039","25188","22851","96.12","嘉義縣"
"148"," 竹崎鄉","24","407","11034","39460","21087","18373","96.12","嘉義縣"
"149"," 梅山鄉","18","200","6314","22332","11862","10470","96.12","嘉義縣"
"150"," 番路鄉","11","112","3784","11778","6454","5324","96.12","嘉義縣"
"151"," 大埔鄉","5","49","1861","4011","2171","1840","96.12","嘉義縣"
"152"," 阿里山鄉","12","78","1949","6165","3309","2856","96.12","嘉義縣"
"153"," 嘉義縣","357","5319","171645","548731","287360","261371","97.12","嘉義縣"
"154"," 太保市","18","250","10691","35896","18641","17255","97.12","嘉義縣"
"155"," 朴子市","27","403","13924","44281","22698","21583","97.12","嘉義縣"
"156"," 布袋鎮","23","375","9988","30888","15955","14933","97.12","嘉義縣"
"157"," 大林鎮","21","317","10998","34101","17581","16520","97.12","嘉義縣"
"158"," 民雄鄉","28","508","21985","72641","37458","35183","97.12","嘉義縣"
"159"," 溪口鄉","14","205","5323","16695","8937","7758","97.12","嘉義縣"
"160"," 新港鄉","23","380","10174","35149","18555","16594","97.12","嘉義縣"
"161"," 六腳鄉","25","328","9053","27041","14358","12683","97.12","嘉義縣"
"162"," 東石鄉","23","357","9203","28399","15153","13246","97.12","嘉義縣"
"163"," 義竹鄉","22","311","7374","21671","11274","10397","97.12","嘉義縣"
"164"," 鹿草鄉","15","255","5623","17429","9359","8070","97.12","嘉義縣"
"165"," 水上鄉","26","409","17218","53130","27601","25529","97.12","嘉義縣"
"166"," 中埔鄉","22","375","14759","47840","25074","22766","97.12","嘉義縣"
"167"," 竹崎鄉","24","407","11127","39155","20900","18255","97.12","嘉義縣"
"168"," 梅山鄉","18","200","6468","22184","11787","10397","97.12","嘉義縣"
"169"," 番路鄉","11","112","3820","11619","6348","5271","97.12","嘉義縣"
"170"," 大埔鄉","5","49","1950","4434","2359","2075","97.12","嘉義縣"
"171"," 阿里山鄉","12","78","1967","6178","3322","2856","97.12","嘉義縣"
"172"," 嘉義縣","357","5328","174312","547716","286024","261692","98.12","嘉義縣"
"173"," 太保市","18","250","10987","36210","18724","17486","98.12","嘉義縣"
"174"," 朴子市","27","406","14289","44326","22640","21686","98.12","嘉義縣"
"175"," 布袋鎮","23","375","10132","30824","15844","14980","98.12","嘉義縣"
"176"," 大林鎮","21","317","11111","33982","17479","16503","98.12","嘉義縣"
"177"," 民雄鄉","28","514","22447","72793","37439","35354","98.12","嘉義縣"
"178"," 溪口鄉","14","205","5387","16563","8832","7731","98.12","嘉義縣"
"179"," 新港鄉","23","380","10293","34995","18471","16524","98.12","嘉義縣"
"180"," 六腳鄉","25","328","9122","26890","14246","12644","98.12","嘉義縣"
"181"," 東石鄉","23","357","9383","28224","15008","13216","98.12","嘉義縣"
"182"," 義竹鄉","22","311","7447","21617","11188","10429","98.12","嘉義縣"
"183"," 鹿草鄉","15","255","5693","17405","9335","8070","98.12","嘉義縣"
"184"," 水上鄉","26","409","17246","52562","27229","25333","98.12","嘉義縣"
"185"," 中埔鄉","22","375","15071","47790","24991","22799","98.12","嘉義縣"
"186"," 竹崎鄉","24","407","11233","38962","20763","18199","98.12","嘉義縣"
"187"," 梅山鄉","18","200","6590","22049","11695","10354","98.12","嘉義縣"
"188"," 番路鄉","11","112","3883","11730","6374","5356","98.12","嘉義縣"
"189"," 大埔鄉","5","49","1962","4572","2424","2148","98.12","嘉義縣"
"190"," 阿里山鄉","12","78","2036","6222","3342","2880","98.12","嘉義縣"
