"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"82"," 竹崎鄉",24,407,10443,41189,22042,19147,90.12,"嘉義縣"
"83"," 梅山鄉",18,200,5925,23453,12519,10934,90.12,"嘉義縣"
"84"," 番路鄉",11,112,3582,12054,6612,5442,90.12,"嘉義縣"
"85"," 大埔鄉",5,49,1516,3815,2119,1696,90.12,"嘉義縣"
"86"," 阿里山鄉",12,78,1897,6122,3338,2784,90.12,"嘉義縣"
"87"," 嘉義縣",357,5293,158808,562394,296380,266014,91.12,"嘉義縣"
"88"," 太保市",18,240,8917,33732,17694,16038,91.12,"嘉義縣"
"89"," 朴子市",27,402,12406,44158,22808,21350,91.12,"嘉義縣"
"90"," 布袋鎮",23,376,9559,33160,17320,15840,91.12,"嘉義縣"
"91"," 大林鎮",21,317,10722,35985,18730,17255,91.12,"嘉義縣"
"92"," 民雄鄉",28,496,19778,71605,37070,34535,91.12,"嘉義縣"
"93"," 溪口鄉",14,205,4944,17652,9427,8225,91.12,"嘉義縣"
"94"," 新港鄉",23,380,9544,36110,19230,16880,91.12,"嘉義縣"
"95"," 六腳鄉",25,328,8563,28582,15258,13324,91.12,"嘉義縣"
"96"," 東石鄉",23,353,8547,29855,15978,13877,91.12,"嘉義縣"
"97"," 義竹鄉",22,311,7010,22934,11997,10937,91.12,"嘉義縣"
"98"," 鹿草鄉",15,255,5313,18052,9694,8358,91.12,"嘉義縣"
"99"," 水上鄉",26,409,16673,55724,29154,26570,91.12,"嘉義縣"
"100"," 中埔鄉",22,375,13336,48452,25511,22941,91.12,"嘉義縣"
"101"," 竹崎鄉",24,407,10577,41210,22041,19169,91.12,"嘉義縣"
"102"," 梅山鄉",18,200,5973,23249,12414,10835,91.12,"嘉義縣"
"103"," 番路鄉",11,112,3593,12095,6640,5455,91.12,"嘉義縣"
"104"," 大埔鄉",5,49,1450,3644,2039,1605,91.12,"嘉義縣"
"105"," 阿里山鄉",12,78,1903,6195,3375,2820,91.12,"嘉義縣"
"106"," 嘉義縣",357,5299,160342,560410,295343,265067,92.12,"嘉義縣"
"107"," 太保市",18,245,9220,34330,18005,16325,92.12,"嘉義縣"
"108"," 朴子市",27,402,12595,44166,22763,21403,92.12,"嘉義縣"
"109"," 布袋鎮",23,375,9616,32770,17154,15616,92.12,"嘉義縣"
"110"," 大林鎮",21,317,10672,35648,18536,17112,92.12,"嘉義縣"
